target,model,family,fold,n,r2,rmse,mae,medae,mape,smape,nrmse,max_error,explained_variance,pearson_r,spearman_rho
log10_retention_time_s,ridge,linear,0,3000.0,0.4764832950276241,3.0673600105798187,2.4280767154901004,2.0671474400037035,1221.5596527281302,115.79426503904311,0.22972173966300197,10.227995159711423,0.4766345152741127,0.6904315715245837,0.737498710995254
log10_retention_time_s,ridge,linear,1,3000.0,0.4638090341595009,3.0549111082314484,2.4097958125863874,2.013093506563556,784.2316053621129,116.69704623869983,0.22943444583555786,10.35302496823959,0.46380903538037077,0.6810653312309951,0.7335717010623856
log10_retention_time_s,ridge,linear,2,3000.0,0.4656037224677939,3.077631045909518,2.438719391099107,2.0247707855504755,1157.959741554405,119.30960591900472,0.22946741262155212,11.653197772910987,0.4656098637325461,0.6823743172087815,0.7061418107589076
log10_retention_time_s,ridge,linear,3,3000.0,0.45326327443370573,3.1173376637497294,2.463386755861733,2.0757943726970387,1511.2671042876916,117.74987091963905,0.23326183858897317,10.411661038496486,0.4532647009766534,0.6732752352307024,0.7234707661421137
log10_retention_time_s,ridge,linear,4,3000.0,0.45571446642429736,3.1369951314624056,2.447682420347428,2.0178008162823673,1309.3662313864295,117.52582063852482,0.23599635802160482,12.815300494221628,0.45579548407086146,0.6751334311940658,0.7124644031751486
log10_retention_time_s,elasticnet,linear,0,3000.0,0.47629006166083887,3.067926049459385,2.4289684153575006,2.067605508412866,1231.3620038927024,115.79457932883508,0.2297641316338441,10.208755101260044,0.47644805430278003,0.6903206380985549,0.7374404977704188
log10_retention_time_s,elasticnet,linear,1,3000.0,0.46381051304632237,3.0549068953006255,2.411722613640301,2.014636719505896,786.064871834353,116.80762838074263,0.22943412942980515,10.353107696912765,0.4638105141341946,0.6810562002920667,0.7334687336072697
log10_retention_time_s,elasticnet,linear,2,3000.0,0.46548807251602686,3.077964046570513,2.439834398733633,2.021222516826914,1158.4560839899677,119.39954899932714,0.2294922410688026,11.608866572204802,0.46549550488786995,0.6822815979404574,0.7060404322549768
log10_retention_time_s,elasticnet,linear,3,3000.0,0.45345484042615114,3.1167914884387367,2.46425973146232,2.0758658362895535,1504.8559639572413,117.66509475550254,0.23322096978649612,10.409941553879909,0.453456774635843,0.6734030983969747,0.7234294800424796
log10_retention_time_s,elasticnet,linear,4,3000.0,0.4556082973162845,3.1373010699033435,2.4496456660509285,2.020127004138129,1319.8115243352368,117.48380099332887,0.2360193737914146,12.724524436514837,0.4556863032218136,0.6750629789522397,0.7122725187946085
