target,model,family,n_train,n_compare,n_test,fit_time_s,predict_us_per_sample,subsampled_to,cv_n_mean,cv_r2_mean,cv_rmse_mean,cv_mae_mean,cv_medae_mean,cv_mape_mean,cv_smape_mean,cv_nrmse_mean,cv_max_error_mean,cv_explained_variance_mean,cv_pearson_r_mean,cv_spearman_rho_mean,cv_n_std,cv_r2_std,cv_rmse_std,cv_mae_std,cv_medae_std,cv_mape_std,cv_smape_std,cv_nrmse_std,cv_max_error_std,cv_explained_variance_std,cv_pearson_r_std,cv_spearman_rho_std,test_n,test_r2,test_rmse,test_mae,test_medae,test_mape,test_smape,test_nrmse,test_max_error,test_explained_variance,test_pearson_r,test_spearman_rho,test_r2_ci_low,test_r2_ci_high,test_rmse_ci_low,test_rmse_ci_high,test_mae_ci_low,test_mae_ci_high,notes
log10_retention_time_s,ridge,linear,42491,15000,7496,0.0952,1.0179,,3000.0,0.4629747585025844,3.0908469919865844,2.4375322190769513,2.0397213842194284,1196.876867063754,117.4153217509823,0.231576358946138,11.092235886716022,0.4630227198869089,0.6804559772778257,0.722629478426762,0.0,0.008211124044033765,0.031141913027683016,0.018064372829897812,0.02633068400663945,238.28343329670375,1.1709987390672296,0.0026401625901515497,1.0040076513293226,0.008246750264074239,0.006057332318239867,0.01197251868572384,7496.0,0.46302456875812714,3.0487093738233084,2.403151876399333,2.0103616634622696,1250.6354926475658,118.95271957858114,0.22802401207071693,11.432088638910605,0.4631005296557613,0.6805192751564203,0.7181249496881982,0.4488007533882596,0.47725950375404075,2.9997182555028115,3.096669393991327,2.358853226250127,2.4403296349531134,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,elasticnet,linear,42491,15000,7496,10.5904,1.5616,,3000.0,0.46293035699312474,3.0909779099345207,2.4388861650489364,2.0398915170346714,1200.1100896019002,117.43013049154725,0.2315861691420725,11.061039072154472,0.4629794302365002,0.6804249027360586,0.7225303324939507,0.0,0.008114139070841943,0.031029157231324638,0.017870110047442888,0.026226663154038845,237.21031263431814,1.1831512558154877,0.002632926394358607,0.9714711837878688,0.008152249231667593,0.005997122558205411,0.011999247189579865,7496.0,0.4630740699792334,3.0485688475476045,2.403766045641243,2.0119403651771655,1251.7080230723475,118.89735931404306,0.22801350160177472,11.347221981742335,0.4631529816502373,0.6805536814875526,0.7181495485990136,0.44661175377608653,0.47727346331099396,2.9926318023033183,3.095469235169708,2.366984700888374,2.447932076388615,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,poly2_ridge,linear,42491,15000,7496,0.5985,4.3844,,3000.0,0.6836711877416499,2.372256256230828,1.7304135161961391,1.2023093210049614,856.980048276545,99.53775497765473,0.1777393763217728,11.034450631315853,0.6837561582010091,0.8271784397893625,0.8038983077015602,0.0,0.004772433572875902,0.02938354571132896,0.012315740540249202,0.01824618596501384,207.39630596377734,0.914925770107618,0.0025544902869750535,2.5327956749137077,0.0047554378633598545,0.0030255662456832384,0.005394374644173939,7496.0,0.6848620797604752,2.3355499001325213,1.692583561010082,1.1521953267207399,888.6839521053323,100.4792927278922,0.17468423300437722,16.355214497399636,0.6849749768462834,0.8277519035898474,0.8048299252420625,0.6720635524694917,0.6969146970550858,2.282269184919867,2.3811927863771505,1.6516666165306695,1.7278580726626258,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,knn,neighbour,42491,15000,7496,0.0819,123.2362,,3000.0,0.5388388758769785,2.864120116173919,1.7031039983453506,0.6863004551008147,661.751654764318,84.21208610817672,0.21459339830543162,11.9484111499903,0.5444485951128832,0.7618700921033469,0.8211979737213777,0.0,0.0126224560659528,0.04845196380289836,0.02573010460516936,0.03225942208001211,279.5933096259596,0.9988919128454818,0.00404294015411407,0.45376033478922756,0.011931490144735516,0.008926805194422616,0.005204074997735774,7496.0,0.5910078983549591,2.660702262438564,1.53812918906573,0.551849817250728,568.1553763887204,79.27268566560646,0.19900355541139134,12.976857499266767,0.5945679359759036,0.7912740888258015,0.840548932388235,0.5756008080896337,0.6075554553277898,2.5826068154880915,2.737684264399418,1.491868483873121,1.5864764605105204,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,svr_rbf,kernel,5000,15000,7496,5.8303,399.1319,5000,3000.0,0.6614780612230143,2.453595580392519,1.462088303828453,0.6995893065461377,486.828156315613,84.77267643594418,0.18383520579583776,12.87024416812875,0.6672161543673673,0.8179807789012911,0.8599160864077611,0.0,0.015266510785569664,0.06356890407805739,0.026478028834574875,0.023968512966863975,164.74784180870333,1.0272802041970515,0.005010862507553059,0.9362470424472872,0.01394724626584378,0.00886938867675494,0.0029345588133641454,7496.0,0.6685718899641877,2.395154254990367,1.4023360600477779,0.6626669416419018,581.0819942557617,84.69259695060035,0.17914225850469842,19.075362472302672,0.6737099181152914,0.8221234611541794,0.8672897361253046,0.6514546935450769,0.684028035811157,2.3196335243361728,2.4712421188492724,1.353216571383618,1.4451038662968083,fitted on a 5000-row subsample (model cost is super-linear in n); cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,gpr,kernel,2000,15000,7496,53.4089,80.9862,2000,3000.0,0.6715919033851792,2.416961421394912,1.7075544971557775,1.1206260451565826,866.0323164104502,96.74064439190427,0.18109139451467174,11.7942970330121,0.6716647302661134,0.8200236823134214,0.8069703549013223,0.0,0.010087377805530508,0.0467423201865464,0.03133858034387016,0.0637066220198689,288.35937731798975,1.8868120925166114,0.0038658270821333397,1.4631316438636637,0.010087930092311863,0.006542846473410527,0.009020779302638782,7496.0,0.6655516509968826,2.406042789031958,1.7078485919050754,1.139363847942775,878.5648841136656,99.4060663902822,0.1799566513881429,11.21831512264528,0.6655767917070174,0.8158620691160124,0.7975273673362014,0.652440000735624,0.6782464096619448,2.3561167390368403,2.465099070332391,1.6693562617145679,1.749169104605342,fitted on a 2000-row subsample (model cost is super-linear in n); cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,random_forest,ensemble,42491,15000,7496,8.088,13.0177,,3000.0,0.6802344808721479,2.3847793234777686,1.251544860168193,0.35225697107207055,440.3559679295228,64.70676828935609,0.17867832333490294,12.262689116508946,0.6803208414024411,0.8270725386957147,0.9034460398442101,0.0,0.010420383000676358,0.040959204067829415,0.02977076518014346,0.020003230215132745,133.49774031161348,1.211930929914388,0.0033639082796336653,0.522681634235104,0.010445999280199954,0.0063083159795213695,0.002467175083646303,7496.0,0.7210533370810902,2.1973508369527086,1.0904130350093162,0.2699149884777578,399.6154837470533,60.3328267255719,0.1643478247126429,12.641617885199093,0.7212369148800836,0.8504075664157293,0.9166371183116364,0.7024332273610681,0.7392719620824664,2.1161024734480725,2.2740747467674964,1.0472111393149883,1.1352460371064788,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,extra_trees,ensemble,42491,15000,7496,3.0975,17.6812,,3000.0,0.6933317487257812,2.3356114444229212,1.2656036972899753,0.4307596773606721,430.3621708518989,69.33043754145831,0.17499267243666783,12.094251136856478,0.6934368221146613,0.83710287674556,0.9058149667359674,0.0,0.007081873191954869,0.03186838842903748,0.018403536248305416,0.023130399103267297,88.19347613168314,0.7883338161270242,0.002631854073895324,0.552884174182316,0.007105065860239994,0.0037979233601203566,0.001331475346174918,7496.0,0.7300076677230221,2.1617951272176477,1.0968320592861247,0.3134066160875284,367.74122374052564,63.73988525223086,0.16168848445035908,12.717350284468864,0.7301529126197681,0.8565347368292981,0.9173181187078306,0.7136040276816933,0.7480801441337579,2.0759441472904046,2.244450329163274,1.0588686767970354,1.1393357585386574,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,hist_gbr,ensemble,42491,15000,7496,2.4196,29.0887,,3000.0,0.7755886409716359,1.9978801254197898,1.110970283635617,0.36533849004832303,482.20039288664077,64.44134151854679,0.14969188320214297,10.545102103626348,0.7757012169656484,0.8813179270078326,0.9027408482148378,0.0,0.008489376495684802,0.04654138694226134,0.02438405004997093,0.01685583757765243,175.6140831355435,0.6830123584780353,0.0037516106286171707,0.990714691838141,0.008382445121844127,0.004568328281293338,0.0039385991501256195,7496.0,0.800056680841515,1.8603397553942695,1.0567315728099838,0.3571674030904693,427.860336495036,64.378026398185,0.1391415457576648,11.798405093100513,0.8000568734728124,0.894985403664651,0.90514214489033,0.7899479058458081,0.8087017297200163,1.8051146541537906,1.910055048016823,1.0184879183341309,1.0946553407671205,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_retention_time_s,xgboost,boosting,42491,15000,7496,16.8952,21.5144,,3000.0,0.7785308423704091,1.9844082272961188,1.0230993800256436,0.24237033218927612,429.8311346953789,55.47734945737253,0.14868469207514132,10.771258401870728,0.7786633554695789,0.8845939102433439,0.9173783770738965,0.0,0.010485623822436676,0.049840394253007056,0.024870401274504895,0.0073174208254882704,164.8708744551841,0.8764467363833752,0.00404904657561558,0.47799053329811286,0.010401214776807485,0.0056061854273333775,0.004042505739421915,7496.0,0.8188405474346567,1.7707992043772816,0.9347076470487541,0.25237874426056095,340.03200312877027,56.96199574129051,0.1324444837611284,10.691607236862183,0.8188429102964084,0.9058032890068243,0.918590380648555,0.8075446137448131,0.8302680743580851,1.7156475352830267,1.8296259282927676,0.8990503285341485,0.9684398508626295,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
