group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,1.0,5.571428571428571,4.571428571428571,2.85,True,4.571428571428571,0.018407584295985213
bayesian,moead,1.0,2.857142857142857,1.8571428571428572,2.85,False,1.8571428571428572,1.0
bayesian,nsga2,1.0,2.142857142857143,1.1428571428571428,2.85,False,1.1428571428571428,1.0
bayesian,nsga3,1.0,4.0,3.0,2.85,True,3.0,0.5084228028703386
bayesian,pso,1.0,5.428571428571429,4.428571428571429,2.85,True,4.428571428571429,0.026089776706482715
de,moead,5.571428571428571,2.857142857142857,2.714285714285714,2.85,False,2.714285714285714,0.8242149568063106
de,nsga2,5.571428571428571,2.142857142857143,3.4285714285714284,2.85,True,3.4285714285714284,0.2300270555701156
de,nsga3,5.571428571428571,4.0,1.5714285714285712,2.85,False,1.5714285714285712,1.0
de,pso,5.571428571428571,5.428571428571429,0.14285714285714235,2.85,False,0.14285714285714235,1.0
moead,nsga2,2.857142857142857,2.142857142857143,0.7142857142857144,2.85,False,0.7142857142857144,1.0
moead,nsga3,2.857142857142857,4.0,1.1428571428571428,2.85,False,1.1428571428571428,1.0
moead,pso,2.857142857142857,5.428571428571429,2.5714285714285716,2.85,False,2.5714285714285716,1.0
nsga2,nsga3,2.142857142857143,4.0,1.8571428571428572,2.85,False,1.8571428571428572,1.0
nsga2,pso,2.142857142857143,5.428571428571429,3.285714285714286,2.85,True,3.285714285714286,0.3024046808736114
nsga3,pso,4.0,5.428571428571429,1.4285714285714288,2.85,False,1.4285714285714288,1.0
