group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
elasticnet,ridge,5,0.0,0.0625,0.6848120131286162,0.6882058855502888,-0.76,large,0.12,1.0,False
elasticnet,svr_rbf,5,0.0,0.0625,0.6848120131286162,0.9272624629151792,-1.0,large,0.0,1.0,False
elasticnet,xgboost,5,0.0,0.0625,0.6848120131286162,0.9699317770874208,-1.0,large,0.0,1.0,False
extra_trees,gpr,5,0.0,0.0625,0.8010233173077091,0.9400279535061978,-1.0,large,0.0,1.0,False
extra_trees,hist_gbr,5,0.0,0.0625,0.8010233173077091,0.9765399315401352,-1.0,large,0.0,1.0,False
extra_trees,knn,5,0.0,0.0625,0.8010233173077091,0.7389209945671755,1.0,large,1.0,1.0,False
extra_trees,lightgbm,5,0.0,0.0625,0.8010233173077091,0.9774050997559982,-1.0,large,0.0,1.0,False
extra_trees,mlp,5,0.0,0.0625,0.8010233173077091,0.9884604447433244,-1.0,large,0.0,1.0,False
extra_trees,mlp_deep,5,0.0,0.0625,0.8010233173077091,0.9937741975410794,-1.0,large,0.0,1.0,False
extra_trees,poly2_ridge,5,0.0,0.0625,0.8010233173077091,0.9315921098714192,-1.0,large,0.0,1.0,False
extra_trees,random_forest,5,0.0,0.0625,0.8010233173077091,0.8119284833370727,-0.52,large,0.24,1.0,False
extra_trees,ridge,5,0.0,0.0625,0.8010233173077091,0.6882058855502888,1.0,large,1.0,1.0,False
extra_trees,svr_rbf,5,0.0,0.0625,0.8010233173077091,0.9272624629151792,-1.0,large,0.0,1.0,False
extra_trees,xgboost,5,0.0,0.0625,0.8010233173077091,0.9699317770874208,-1.0,large,0.0,1.0,False
gpr,hist_gbr,5,0.0,0.0625,0.9400279535061978,0.9765399315401352,-1.0,large,0.0,1.0,False
gpr,knn,5,0.0,0.0625,0.9400279535061978,0.7389209945671755,1.0,large,1.0,1.0,False
gpr,lightgbm,5,0.0,0.0625,0.9400279535061978,0.9774050997559982,-1.0,large,0.0,1.0,False
gpr,mlp,5,0.0,0.0625,0.9400279535061978,0.9884604447433244,-1.0,large,0.0,1.0,False
gpr,mlp_deep,5,0.0,0.0625,0.9400279535061978,0.9937741975410794,-1.0,large,0.0,1.0,False
