group,n,statistic,p_value,normal_at_alpha
bayesian,7,0.9014246268460191,0.3396954379984897,True
de,7,0.8736732640477396,0.1998131527105444,True
moead,7,0.7818608986100375,0.026975613078466812,False
nsga2,7,,,
nsga3,7,0.9052625663075072,0.36404674251118324,True
pso,7,0.8693003413575074,0.18302792615240387,True
