group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
bayesian,de,7,0.0,0.015625,13.335066416015495,34.51609079566875,-1.0,large,0.0,0.234375,False
bayesian,moead,7,0.0,0.015625,13.335066416015495,48.50705282442951,-1.0,large,0.0,0.234375,False
bayesian,nsga2,7,6.0,0.21875,13.335066416015495,10.945233322192522,0.42857142857142855,medium,0.7142857142857143,0.65625,False
bayesian,nsga3,7,10.0,0.578125,13.335066416015495,12.64688794270088,0.10204081632653061,negligible,0.5510204081632653,1.0,False
bayesian,pso,7,0.0,0.015625,13.335066416015495,36.11751229246848,-1.0,large,0.0,0.234375,False
de,moead,7,3.0,0.078125,34.51609079566875,48.50705282442951,-0.7142857142857143,large,0.14285714285714285,0.390625,False
de,nsga2,7,0.0,0.015625,34.51609079566875,10.945233322192522,1.0,large,1.0,0.234375,False
de,nsga3,7,0.0,0.015625,34.51609079566875,12.64688794270088,1.0,large,1.0,0.234375,False
de,pso,7,13.0,0.9375,34.51609079566875,36.11751229246848,-0.10204081632653061,negligible,0.4489795918367347,1.0,False
moead,nsga2,7,0.0,0.015625,48.50705282442951,10.945233322192522,1.0,large,1.0,0.234375,False
moead,nsga3,7,0.0,0.015625,48.50705282442951,12.64688794270088,1.0,large,1.0,0.234375,False
moead,pso,7,2.0,0.046875,48.50705282442951,36.11751229246848,0.7142857142857143,large,0.8571428571428571,0.28125,False
nsga2,nsga3,7,3.0,0.078125,10.945233322192522,12.64688794270088,-0.6326530612244898,large,0.1836734693877551,0.390625,False
nsga2,pso,7,0.0,0.015625,10.945233322192522,36.11751229246848,-1.0,large,0.0,0.234375,False
nsga3,pso,7,0.0,0.015625,12.64688794270088,36.11751229246848,-1.0,large,0.0,0.234375,False
