group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,1.4285714285714286,2.7142857142857144,1.2857142857142858,2.85,False,1.2857142857142858,1.0
bayesian,moead,1.4285714285714286,6.0,4.571428571428571,2.85,True,4.571428571428571,0.018407584295985213
bayesian,nsga2,1.4285714285714286,2.5714285714285716,1.142857142857143,2.85,False,1.142857142857143,1.0
bayesian,nsga3,1.4285714285714286,4.571428571428571,3.1428571428571423,2.85,True,3.1428571428571423,0.39390951176693334
bayesian,pso,1.4285714285714286,3.7142857142857144,2.2857142857142856,2.85,False,2.2857142857142856,1.0
de,moead,2.7142857142857144,6.0,3.2857142857142856,2.85,True,3.2857142857142856,0.3024046808736114
de,nsga2,2.7142857142857144,2.5714285714285716,0.1428571428571428,2.85,False,0.1428571428571428,1.0
de,nsga3,2.7142857142857144,4.571428571428571,1.8571428571428568,2.85,False,1.8571428571428568,1.0
de,pso,2.7142857142857144,3.7142857142857144,1.0,2.85,False,1.0,1.0
moead,nsga2,6.0,2.5714285714285716,3.4285714285714284,2.85,True,3.4285714285714284,0.2300270555701156
moead,nsga3,6.0,4.571428571428571,1.4285714285714288,2.85,False,1.4285714285714288,1.0
moead,pso,6.0,3.7142857142857144,2.2857142857142856,2.85,False,2.2857142857142856,1.0
nsga2,nsga3,2.5714285714285716,4.571428571428571,1.9999999999999996,2.85,False,1.9999999999999996,1.0
nsga2,pso,2.5714285714285716,3.7142857142857144,1.1428571428571428,2.85,False,1.1428571428571428,1.0
nsga3,pso,4.571428571428571,3.7142857142857144,0.8571428571428568,2.85,False,0.8571428571428568,1.0
