group,n,statistic,p_value,normal_at_alpha
bayesian,7,0.8587923993031937,0.14766096729184147,True
de,7,0.9538366687037948,0.7644399386322631,True
moead,7,0.8958142283227224,0.30638446923854734,True
nsga2,7,0.9561318497415151,0.7849439748828052,True
nsga3,7,0.8895792417097353,0.27247595474609726,True
pso,7,0.943156898450415,0.6672987076797476,True
