group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
bayesian,de,1.5714285714285714,4.285714285714286,2.7142857142857144,2.85,False,2.7142857142857144,0.8242149568063106
bayesian,moead,1.5714285714285714,6.0,4.428571428571429,2.85,True,4.428571428571429,0.026089776706482715
bayesian,nsga2,1.5714285714285714,1.8571428571428572,0.2857142857142858,2.85,False,0.2857142857142858,1.0
bayesian,nsga3,1.5714285714285714,3.4285714285714284,1.857142857142857,2.85,False,1.857142857142857,1.0
bayesian,pso,1.5714285714285714,3.857142857142857,2.2857142857142856,2.85,False,2.2857142857142856,1.0
de,moead,4.285714285714286,6.0,1.7142857142857144,2.85,False,1.7142857142857144,1.0
de,nsga2,4.285714285714286,1.8571428571428572,2.4285714285714284,2.85,False,2.4285714285714284,1.0
de,nsga3,4.285714285714286,3.4285714285714284,0.8571428571428572,2.85,False,0.8571428571428572,1.0
de,pso,4.285714285714286,3.857142857142857,0.4285714285714284,2.85,False,0.4285714285714284,1.0
moead,nsga2,6.0,1.8571428571428572,4.142857142857142,2.85,True,4.142857142857142,0.05093561465728369
moead,nsga3,6.0,3.4285714285714284,2.5714285714285716,2.85,False,2.5714285714285716,1.0
moead,pso,6.0,3.857142857142857,2.142857142857143,2.85,False,2.142857142857143,1.0
nsga2,nsga3,1.8571428571428572,3.4285714285714284,1.5714285714285712,2.85,False,1.5714285714285712,1.0
nsga2,pso,1.8571428571428572,3.857142857142857,2.0,2.85,False,2.0,1.0
nsga3,pso,3.4285714285714284,3.857142857142857,0.4285714285714288,2.85,False,0.4285714285714288,1.0
