group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
hist_gbr,mlp_deep,5,0.0,0.0625,0.9629525990842192,0.9731277120086436,-1.0,large,0.0,1.0,False
hist_gbr,poly2_ridge,5,0.0,0.0625,0.9629525990842192,0.9422696978547322,1.0,large,1.0,1.0,False
hist_gbr,random_forest,5,0.0,0.0625,0.9629525990842192,0.9289268012295716,1.0,large,1.0,1.0,False
hist_gbr,ridge,5,0.0,0.0625,0.9629525990842192,0.8657363573592752,1.0,large,1.0,1.0,False
hist_gbr,svr_rbf,5,0.0,0.0625,0.9629525990842192,0.926919559863402,1.0,large,1.0,1.0,False
hist_gbr,xgboost,5,7.0,1.0,0.9629525990842192,0.964416433748768,0.04,negligible,0.52,1.0,False
knn,lightgbm,5,0.0,0.0625,0.7913666210862951,0.9653447429650954,-1.0,large,0.0,1.0,False
knn,mlp,5,0.0,0.0625,0.7913666210862951,0.9639540304401208,-1.0,large,0.0,1.0,False
knn,mlp_deep,5,0.0,0.0625,0.7913666210862951,0.9731277120086436,-1.0,large,0.0,1.0,False
knn,poly2_ridge,5,0.0,0.0625,0.7913666210862951,0.9422696978547322,-1.0,large,0.0,1.0,False
knn,random_forest,5,0.0,0.0625,0.7913666210862951,0.9289268012295716,-1.0,large,0.0,1.0,False
knn,ridge,5,0.0,0.0625,0.7913666210862951,0.8657363573592752,-1.0,large,0.0,1.0,False
knn,svr_rbf,5,0.0,0.0625,0.7913666210862951,0.926919559863402,-1.0,large,0.0,1.0,False
knn,xgboost,5,0.0,0.0625,0.7913666210862951,0.964416433748768,-1.0,large,0.0,1.0,False
lightgbm,mlp,5,0.0,0.0625,0.9653447429650954,0.9639540304401208,0.44,medium,0.72,1.0,False
lightgbm,mlp_deep,5,0.0,0.0625,0.9653447429650954,0.9731277120086436,-1.0,large,0.0,1.0,False
lightgbm,poly2_ridge,5,0.0,0.0625,0.9653447429650954,0.9422696978547322,1.0,large,1.0,1.0,False
lightgbm,random_forest,5,0.0,0.0625,0.9653447429650954,0.9289268012295716,1.0,large,1.0,1.0,False
lightgbm,ridge,5,0.0,0.0625,0.9653447429650954,0.8657363573592752,1.0,large,1.0,1.0,False
lightgbm,svr_rbf,5,0.0,0.0625,0.9653447429650954,0.926919559863402,1.0,large,1.0,1.0,False
lightgbm,xgboost,5,0.0,0.0625,0.9653447429650954,0.964416433748768,0.44,medium,0.72,1.0,False
mlp,mlp_deep,5,0.0,0.0625,0.9639540304401208,0.9731277120086436,-1.0,large,0.0,1.0,False
mlp,poly2_ridge,5,0.0,0.0625,0.9639540304401208,0.9422696978547322,1.0,large,1.0,1.0,False
mlp,random_forest,5,0.0,0.0625,0.9639540304401208,0.9289268012295716,1.0,large,1.0,1.0,False
mlp,ridge,5,0.0,0.0625,0.9639540304401208,0.8657363573592752,1.0,large,1.0,1.0,False
mlp,svr_rbf,5,0.0,0.0625,0.9639540304401208,0.926919559863402,1.0,large,1.0,1.0,False
mlp,xgboost,5,7.0,1.0,0.9639540304401208,0.964416433748768,-0.04,negligible,0.48,1.0,False
mlp_deep,poly2_ridge,5,0.0,0.0625,0.9731277120086436,0.9422696978547322,1.0,large,1.0,1.0,False
mlp_deep,random_forest,5,0.0,0.0625,0.9731277120086436,0.9289268012295716,1.0,large,1.0,1.0,False
mlp_deep,ridge,5,0.0,0.0625,0.9731277120086436,0.8657363573592752,1.0,large,1.0,1.0,False
mlp_deep,svr_rbf,5,0.0,0.0625,0.9731277120086436,0.926919559863402,1.0,large,1.0,1.0,False
mlp_deep,xgboost,5,0.0,0.0625,0.9731277120086436,0.964416433748768,1.0,large,1.0,1.0,False
poly2_ridge,random_forest,5,0.0,0.0625,0.9422696978547322,0.9289268012295716,1.0,large,1.0,1.0,False
poly2_ridge,ridge,5,0.0,0.0625,0.9422696978547322,0.8657363573592752,1.0,large,1.0,1.0,False
poly2_ridge,svr_rbf,5,0.0,0.0625,0.9422696978547322,0.926919559863402,1.0,large,1.0,1.0,False
poly2_ridge,xgboost,5,0.0,0.0625,0.9422696978547322,0.964416433748768,-1.0,large,0.0,1.0,False
random_forest,ridge,5,0.0,0.0625,0.9289268012295716,0.8657363573592752,1.0,large,1.0,1.0,False
random_forest,svr_rbf,5,6.0,0.8125,0.9289268012295716,0.926919559863402,0.04,negligible,0.52,1.0,False
random_forest,xgboost,5,0.0,0.0625,0.9289268012295716,0.964416433748768,-1.0,large,0.0,1.0,False
ridge,svr_rbf,5,0.0,0.0625,0.8657363573592752,0.926919559863402,-1.0,large,0.0,1.0,False
ridge,xgboost,5,0.0,0.0625,0.8657363573592752,0.964416433748768,-1.0,large,0.0,1.0,False
svr_rbf,xgboost,5,0.0,0.0625,0.926919559863402,0.964416433748768,-1.0,large,0.0,1.0,False
