group,n,statistic,p_value,normal_at_alpha
bayesian,7,0.8791114122915507,0.22253304207447194,True
de,7,0.9452488024994348,0.6863519528107123,True
moead,7,0.8181842506719375,0.06168090099426605,True
nsga2,7,0.9720162805117338,0.9125847018288396,True
nsga3,7,0.9460310391238553,0.6934895709275686,True
pso,7,0.969908422242112,0.8977889426733578,True
