group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
catboost,elasticnet,2.8,13.8,11.0,8.873849897310638,True,4.157609203101499,0.2987949497322808
catboost,extra_trees,2.8,7.0,4.2,8.873849897310638,False,1.5874507866387544,1.0
catboost,gpr,2.8,9.8,7.000000000000001,8.873849897310638,False,2.6457513110645907,1.0
catboost,hist_gbr,2.8,4.0,1.2000000000000002,8.873849897310638,False,0.45355736761107274,1.0
catboost,knn,2.8,12.0,9.2,8.873849897310638,True,3.4772731516848903,1.0
catboost,lightgbm,2.8,5.0,2.2,8.873849897310638,False,0.8315218406202999,1.0
catboost,mlp,2.8,1.2,1.5999999999999999,8.873849897310638,False,0.6047431568147635,1.0
catboost,mlp_deep,2.8,2.0,0.7999999999999998,8.873849897310638,False,0.3023715784073817,1.0
catboost,poly2_ridge,2.8,9.2,6.3999999999999995,8.873849897310638,False,2.418972627259054,1.0
catboost,random_forest,2.8,8.0,5.2,8.873849897310638,False,1.9654152596479815,1.0
catboost,ridge,2.8,13.2,10.399999999999999,8.873849897310638,True,3.9308305192959625,0.49540234427343277
catboost,svr_rbf,2.8,11.0,8.2,8.873849897310638,False,3.099308678675663,1.0
catboost,xgboost,2.8,6.0,3.2,8.873849897310638,False,1.209486313629527,1.0
elasticnet,extra_trees,13.8,7.0,6.800000000000001,8.873849897310638,False,2.5701584164627453,1.0
elasticnet,gpr,13.8,9.8,4.0,8.873849897310638,False,1.5118578920369088,1.0
elasticnet,hist_gbr,13.8,4.0,9.8,8.873849897310638,True,3.704051835490427,0.8021335962834197
elasticnet,knn,13.8,12.0,1.8000000000000007,8.873849897310638,False,0.6803360514166092,1.0
elasticnet,lightgbm,13.8,5.0,8.8,8.873849897310638,False,3.3260873624811995,1.0
elasticnet,mlp,13.8,1.2,12.600000000000001,8.873849897310638,True,4.762352359916263,0.0690283448496043
elasticnet,mlp_deep,13.8,2.0,11.8,8.873849897310638,True,4.459980781508881,0.14671411350713792
elasticnet,poly2_ridge,13.8,9.2,4.600000000000001,8.873849897310638,False,1.7386365758424458,1.0
