group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
catboost,elasticnet,5,0.0,0.0625,0.9352208753686734,0.6016043463575207,1.0,large,1.0,1.0,False
catboost,extra_trees,5,0.0,0.0625,0.9352208753686734,0.8331905005315909,1.0,large,1.0,1.0,False
catboost,gpr,5,0.0,0.0625,0.9352208753686734,0.7380452007868432,1.0,large,1.0,1.0,False
catboost,hist_gbr,5,0.0,0.0625,0.9352208753686734,0.9043951623553346,1.0,large,1.0,1.0,False
catboost,knn,5,0.0,0.0625,0.9352208753686734,0.6582236920772705,1.0,large,1.0,1.0,False
catboost,lightgbm,5,0.0,0.0625,0.9352208753686734,0.8923102610760806,1.0,large,1.0,1.0,False
catboost,mlp,5,0.0,0.0625,0.9352208753686734,0.9609552098643456,-1.0,large,0.0,1.0,False
catboost,mlp_deep,5,1.0,0.125,0.9352208753686734,0.951549324996298,-0.68,large,0.16,1.0,False
catboost,poly2_ridge,5,0.0,0.0625,0.9352208753686734,0.7415368426339787,1.0,large,1.0,1.0,False
catboost,random_forest,5,0.0,0.0625,0.9352208753686734,0.8046672448131442,1.0,large,1.0,1.0,False
catboost,ridge,5,0.0,0.0625,0.9352208753686734,0.6018425780409802,1.0,large,1.0,1.0,False
catboost,svr_rbf,5,0.0,0.0625,0.9352208753686734,0.6833692961665874,1.0,large,1.0,1.0,False
catboost,xgboost,5,0.0,0.0625,0.9352208753686734,0.8845858120114658,1.0,large,1.0,1.0,False
elasticnet,extra_trees,5,0.0,0.0625,0.6016043463575207,0.8331905005315909,-1.0,large,0.0,1.0,False
elasticnet,gpr,5,0.0,0.0625,0.6016043463575207,0.7380452007868432,-1.0,large,0.0,1.0,False
elasticnet,hist_gbr,5,0.0,0.0625,0.6016043463575207,0.9043951623553346,-1.0,large,0.0,1.0,False
elasticnet,knn,5,0.0,0.0625,0.6016043463575207,0.6582236920772705,-0.68,large,0.16,1.0,False
elasticnet,lightgbm,5,0.0,0.0625,0.6016043463575207,0.8923102610760806,-1.0,large,0.0,1.0,False
elasticnet,mlp,5,0.0,0.0625,0.6016043463575207,0.9609552098643456,-1.0,large,0.0,1.0,False
elasticnet,mlp_deep,5,0.0,0.0625,0.6016043463575207,0.951549324996298,-1.0,large,0.0,1.0,False
elasticnet,poly2_ridge,5,0.0,0.0625,0.6016043463575207,0.7415368426339787,-1.0,large,0.0,1.0,False
elasticnet,random_forest,5,0.0,0.0625,0.6016043463575207,0.8046672448131442,-1.0,large,0.0,1.0,False
elasticnet,ridge,5,4.0,0.4375,0.6016043463575207,0.6018425780409802,-0.12,negligible,0.44,1.0,False
elasticnet,svr_rbf,5,0.0,0.0625,0.6016043463575207,0.6833692961665874,-1.0,large,0.0,1.0,False
