group,n,statistic,p_value,normal_at_alpha
bayesian,7,0.8236723745267912,0.06964812879749022,True
de,7,0.9811224125207588,0.964807797735204,True
moead,7,0.9210758598070826,0.47779730005193605,True
nsga2,7,0.9435567828698075,0.6709356162778318,True
nsga3,7,0.9723510351915702,0.9148524856478035,True
pso,7,0.8804692212533912,0.22853908110236987,True
