found_by,vdd,vwl_boost,vwl_low,vblpre_ratio,cs,cbl_ratio,wacc,lacc,wsan,wsap_ratio,wen_ratio,t_write_pulse,t_sense_delay,retention_time_s,read_delay_ns,total_power_nw,read_margin_mv,g_read_margin_mv,write_efficiency,g_write_efficiency,g_read_delay_ns,feasible,retention_time_s@temperature_c27.0_cornerTT,read_delay_ns@temperature_c27.0_cornerTT,total_power_nw@temperature_c27.0_cornerTT,read_margin_mv@temperature_c27.0_cornerTT,retention_time_s@temperature_c85.0_cornerSS,read_delay_ns@temperature_c85.0_cornerSS,total_power_nw@temperature_c85.0_cornerSS,read_margin_mv@temperature_c85.0_cornerSS,retention_time_s@temperature_c125.0_cornerSS,read_delay_ns@temperature_c125.0_cornerSS,total_power_nw@temperature_c125.0_cornerSS,read_margin_mv@temperature_c125.0_cornerSS,retention_time_s@temperature_c85.0_cornerFF,read_delay_ns@temperature_c85.0_cornerFF,total_power_nw@temperature_c85.0_cornerFF,read_margin_mv@temperature_c85.0_cornerFF,selection
nsga3,1.2989312323738802,0.8995398804418048,-0.008575849116228,0.35693235605028056,3.5265746883703165e-14,2.0738851816889943,6.014667254106645e-08,5.845692764052817e-08,1.4146806744781656e-07,2.4735722630202135,1.2341201396249613,8.69413149579773e-09,8.593225411906203e-09,0.018793593847412436,4.996639291776914,8.017763736360623,245.8779011101356,-8.835116044405424,0.9681291255967037,-0.138975441878475,-0.8334453569407695,True,36.21060788407667,2.1284351895574174,6.830183910098704,259.59933211575054,1.1509891405031045,3.791920125255584,6.224889308070424,253.02268046834044,0.018793593847412436,4.996639291776914,6.488431077676811,245.8779011101356,1.0437323667394467,2.6816363141568944,8.017763736360623,260.236949491193,knee
nsga3,1.2269528361415292,0.9809408404997189,-0.03506945943574552,0.3500060992202984,3.986857667210921e-14,2.0038643688896003,6.53364790605826e-08,8.10445277697721e-08,2.0152711628811667e-07,2.986978665772224,3.8023545633568383,9.602116470008785e-09,1.949389650297177e-09,0.02108416468168486,2.9932700053531613,8.824146537045799,230.57483789529408,-8.222993515811764,0.9659916020399606,-0.1364607082823066,-0.9002243331548947,True,46.46881983058575,1.2107946019259728,7.355599732079509,255.66924192223604,1.299595841752832,2.243356637186694,6.973646975451952,242.5028166446962,0.02108416468168486,2.9932700053531613,7.3521146213734205,230.57483789529408,1.2175463473439112,1.5982583504178338,8.824146537045799,248.95763164392596,weighted
nsga3,1.286896917471991,1.120586566908202,-0.02328966001296902,0.35040101681754066,3.996392700163866e-14,2.071129834097518,6.240140374685731e-08,6.565216495562446e-08,1.0831802906635405e-07,2.7241679145924924,3.8226646430968954,9.511235226458453e-09,8.502592716286901e-09,0.023263656007343436,5.848645235969718,12.75431761916655,260.251313921292,-9.410052556851682,0.9806397733040375,-0.15369385094592652,-0.8050451588010094,True,44.021229580755886,2.3942774188566016,10.407509907155637,261.2904486962704,1.2748485622306158,4.41441841257455,8.85584573198568,261.2159973405669,0.023263656007343436,5.848645235969718,9.52057428443204,260.251313921292,1.2016199828614047,3.241478428018418,12.75431761916655,261.5562863345516,best_retention_time_s
nsga2,1.2940367292070984,1.0881952304496352,-0.11589376088383202,0.3564717901170506,5.1617236476269935e-15,2.037266836521718,2.0959708207358342e-07,6.415891578506413e-08,4.789882826595281e-07,1.8568616009803824,3.147958453233895,6.319614122558708e-09,5.9809406557604254e-09,0.0004789254050805842,0.19953772448013912,8.79040430055515,225.82862578466825,-8.03314503138673,0.9684803527576069,-0.139388650303067,-0.9933487425173287,True,2.9812225602632907,0.00866563941715029,4.932526987221023,225.82862578466825,0.03029309335517312,0.1608660662140271,4.27151613004095,229.56458778486416,0.0004789254050805842,0.19953772448013912,4.992132588680574,230.59014410550884,0.03191877702693296,0.047266433905439886,8.79040430055515,227.98656858810844,best_read_delay_ns
nsga2,0.7090358464569713,0.63615400809082,-0.05649558520594745,0.6334557884473587,5.3076542078368355e-15,2.0052790693296942,8.935740745168923e-08,8.232140909004605e-08,1.4418135764557313e-07,2.3131320126815194,1.530726187599197,9.667326198996871e-09,3.176253807825967e-09,0.00021684162062461903,25.03702383667448,0.31610786455523465,72.80230170332241,-1.9120920681328966,0.9604068244982342,-0.12989038176262852,-0.16543253877751737,True,0.8198672628010265,9.173123632052022,0.27540729876380854,79.1712206070241,0.011849290849336475,25.03702383667448,0.25404099586698925,72.80230170332241,0.00021684162062461903,23.791783720593592,0.27616981909512733,74.60305374888274,0.02050745112422743,4.949733729576026,0.31610786455523465,84.87510987424021,best_total_power_nw
moead,1.2999830396540808,0.9965384312830855,-0.3997638447093391,0.35000052314569163,5.005642003921015e-15,2.000000000440129,2.1999891454737986e-07,1.199996457652774e-07,9.00000002834546e-08,1.0004739539595966,2.2076504884002675,5.0714951384067546e-09,1.2871485993355657e-09,0.00034178951836313015,1.171132496594175,3.9275677896461083,286.15355478878456,-10.446142191551383,0.9636031763797135,-0.13365079574083943,-0.9609622501135274,True,1.9884453024587816,0.5659420018145858,2.7071085809375437,286.2031903870344,0.018210199769518366,0.9472483929858275,2.210249374104196,286.15355478878456,0.00034178951836313015,1.171132496594175,2.473138282481905,286.2201643479157,0.01756120276986476,0.7144271990197889,3.9275677896461083,287.14691209757416,best_read_margin_mv
nsga2,1.285191488908361,0.9785859919203059,-0.05925552604808397,0.35142834831814235,3.938694066339251e-14,2.005107509537244,6.543690710097805e-08,6.236539781932467e-08,1.819235837344427e-07,2.7973463146510698,3.94180071454995,9.5694646330125e-09,9.594395750849393e-09,0.020972958455292696,2.9397387867482596,10.091379228507224,261.4859734694829,-9.459438938779314,0.9804007135234796,-0.1534126041452701,-0.9020087071083914,True,42.04766463850609,1.3309898370378093,8.2322858908611,264.8335060935233,1.2281679649236075,2.2457976218933142,7.473132782160552,264.5792168609227,0.020972958455292696,2.9397387867482596,8.032676746222377,261.4859734694829,1.2063918619096314,1.666235852818409,10.091379228507224,265.2032544894916,compromise
nsga2,1.2998119002339827,1.0534877037024355,-0.00378679337638347,0.35307431635655306,3.967401552129936e-14,2.004156385538328,6.27838768002147e-08,7.494309735971473e-08,1.7641870855454883e-07,2.975726864692014,3.640869772159774,9.298078472843037e-09,6.10482439978239e-09,0.022625772296153437,2.898571140188742,11.465855976538709,259.544412363405,-9.3817764945362,0.9738206338125466,-0.14567133389711365,-0.9033809619937085,True,48.05611128985747,1.3488233700860388,9.369785345696965,266.50974290840946,1.2911914434518261,2.2720103655729815,8.43560709684446,266.0623297734905,0.022625772296153437,2.898571140188742,8.948518249120523,259.544412363405,1.2373578225143709,1.6830120885192459,11.465855976538709,266.3595970486665,compromise
nsga3,1.2468547345691021,1.0225827876815563,-0.02545372109462437,0.35355895034671164,3.953146133700639e-14,2.0022110032604457,6.493571758273981e-08,8.825894769340833e-08,2.3176197488535263e-07,2.939886397293876,3.8846868990460224,9.612481808191025e-09,2.4772614864059193e-09,0.02116123147020797,2.4637925094678144,9.7638911493498,236.99211353944722,-8.479684541577889,0.9666535774704936,-0.1372395029064631,-0.9178735830177395,True,47.514016145142854,0.9784164257225556,7.886795557737756,257.44928642428573,1.2878233918623152,1.8454164875975134,7.5058549330520075,248.68377724096496,0.02116123147020797,2.4637925094678144,7.918217635756598,236.99211353944722,1.158175872695169,1.3670772131936573,9.7638911493498,254.19569887297712,compromise
nsga2,1.2700456320754796,1.0589385228406714,-0.002686186197360144,0.35307544286815745,3.967401552129936e-14,2.04609643064278,6.26013775608284e-08,6.86879731173487e-08,1.7661484126162482e-07,2.9777842489301025,3.640869772159774,9.629998050223785e-09,6.10482439978239e-09,0.02172034752861246,3.141273503533384,10.91637088551926,256.54646686266625,-9.26185867450665,0.9802944937863844,-0.15328763974868762,-0.8952908832155538,True,47.006693688354744,1.3975739467967208,8.951386036227312,258.4029806229186,1.3300789259363581,2.427932721367961,8.11410029211552,258.226437917592,0.02172034752861246,3.141273503533384,8.599171799142269,256.54646686266625,1.2244857903947637,1.7512718697107206,10.91637088551926,258.6535236649914,compromise
