found_by,vdd,vwl_boost,vwl_low,vblpre_ratio,cs,cbl_ratio,wacc,lacc,wsan,wsap_ratio,wen_ratio,t_write_pulse,t_sense_delay,retention_time_s,read_delay_ns,total_power_nw,read_margin_mv,g_read_margin_mv,write_efficiency,g_write_efficiency,g_read_delay_ns,feasible,retention_time_s@temperature_c27.0_cornerTT,read_delay_ns@temperature_c27.0_cornerTT,total_power_nw@temperature_c27.0_cornerTT,read_margin_mv@temperature_c27.0_cornerTT,retention_time_s@temperature_c85.0_cornerSS,read_delay_ns@temperature_c85.0_cornerSS,total_power_nw@temperature_c85.0_cornerSS,read_margin_mv@temperature_c85.0_cornerSS,retention_time_s@temperature_c125.0_cornerSS,read_delay_ns@temperature_c125.0_cornerSS,total_power_nw@temperature_c125.0_cornerSS,read_margin_mv@temperature_c125.0_cornerSS,retention_time_s@temperature_c85.0_cornerFF,read_delay_ns@temperature_c85.0_cornerFF,total_power_nw@temperature_c85.0_cornerFF,read_margin_mv@temperature_c85.0_cornerFF
nsga2,1.2724348613252685,0.8701872205638935,-0.3895723140036904,0.6281126428007132,5.0703798836747715e-15,2.0087163195705675,1.811351787330543e-07,6.864509905714675e-08,2.0424729852942027e-07,2.1256438970628855,3.867254646442459,8.968348551276276e-09,2.049431478522694e-09,0.0001165283191023087,0.5176066806076457,2.0607094206875174,157.5114471160656,-5.300457884642624,0.9720151215620094,-0.14354720183765818,-0.9827464439797452,True,0.0009021164340701999,0.2589783827330574,1.4125541998972475,157.5114471160656,0.0012420392114517167,0.41828985186308476,1.3186807979811725,159.29678508773236,0.0001165283191023087,0.5176066806076457,1.703571928440548,159.8817778742075,0.0003971923190473221,0.2747466675419377,2.0607094206875174,158.97137705648674
nsga2,0.7997250695163471,0.6238728898453352,-0.03409116559729242,0.6011249883700871,7.69379990917183e-15,2.020198351537984,6.294126160077963e-08,8.267131582726577e-08,1.3305454991969718e-07,2.266947745199235,2.998633370952758,8.820910790914193e-09,7.180104223054553e-09,0.0005323405042332392,18.46174366615292,0.5267240249685062,77.62894232381693,-2.105157692952677,0.8985292011886716,-0.05709317786902548,-0.38460854446156933,True,1.8234898518887255,6.480942414055898,0.47612706059082605,91.82614824130711,0.038791145888949385,17.569582621667635,0.46426946081891973,78.03180329679779,0.0005323405042332392,18.46174366615292,0.51204277246008,77.62894232381693,0.07023030927571845,3.7804016945675025,0.5267240249685062,100.6673671649201
nsga2,0.7716003203695212,0.7025226162421699,-0.32718484439824314,0.3645294030954096,1.8277346043914514e-14,2.048120151716211,6.601019532141221e-08,4.721850800242333e-08,1.9959513466685032e-07,2.754637464224708,3.9637227224585008,9.982242847042743e-09,2.0429246620546044e-09,0.0033950555012112046,29.944135080407225,1.411554000297965,147.2306625261491,-4.889226501045965,0.9559611185858039,-0.1246601395127105,-0.0018621639864258319,True,10.815570758883085,11.442703557646732,1.220100574024341,157.12748795328753,0.29761912438147203,29.944135080407225,1.189838407088094,150.10079619005057,0.0033950555012112046,29.513236318687802,1.3221764150316089,147.2306625261491,0.25972852240435557,5.582399046848847,1.411554000297965,159.2931524372849
nsga2,1.2978320402814438,1.1764053241085033,-0.0057108742516867456,0.3575106603218805,5.225970429604154e-15,2.1356889042375244,1.6998351535750324e-07,1.036225857642936e-07,5.221698382603721e-07,2.270316163586079,3.530852663748157,8.47726284698034e-09,2.01663038058458e-09,0.0006179819315636848,0.2317821169101093,11.205620607805033,220.68913791668618,-7.827565516667447,0.9692252990831971,-0.1402650577449378,-0.9922739294363296,True,3.22624514836121,0.013670675845651459,6.175301930124075,220.68913791668618,0.046716492286245206,0.14102976193865485,5.2870636417756725,221.7165661211086,0.0006179819315636848,0.2317821169101093,6.15917039247503,222.5748888092541,0.05091747417537299,0.07204805396306069,11.205620607805033,221.6881603795002
nsga2,0.7693187339952118,0.7483208322873439,-0.3706937748202032,0.6468317300018646,5.136319797124415e-15,2.015316883119093,6.695721876006623e-08,4.763541946693812e-08,1.3457077372677406e-07,1.976398052041545,1.571215500642116,9.546372282668263e-09,1.317990122677359e-09,0.00040274518920540366,11.558942306925656,0.36447037071321203,89.15488734507734,-2.5661954938030935,0.9922959417095201,-0.16740699024649422,-0.6147019231024781,True,1.0685844782747211,4.883488958907269,0.30042679009237183,89.15488734507734,0.019436714307901774,11.037874077490212,0.32213647126207073,90.77495904048219,0.00040274518920540366,11.558942306925656,0.34582830461779407,92.29855101260866,0.023491695504337416,2.9272685247969354,0.36447037071321203,93.64374195948578
nsga2,1.2986539724248896,1.1672987101461691,-0.00378679337638347,0.35307544286815745,3.967401552129936e-14,2.795679941883871,6.293564893967675e-08,7.045543264799835e-08,1.8456571909342715e-07,2.975726864692014,3.9847665559886396,9.298078472843037e-09,6.10482439978239e-09,0.022808576511626467,4.080261967082192,16.753003239536742,215.94011305467927,-7.637604522187171,0.9754190688871673,-0.14755184574960867,-0.8639912677639269,True,40.8663881096694,1.7993638629428472,13.68861271062149,217.43892862016259,1.293297467564618,3.0055287034801106,12.169134751795928,216.53421913491462,0.022808576511626467,4.080261967082192,13.077574258189838,215.94011305467927,1.0304301378450653,2.154351094797004,16.753003239536742,216.72871813270103
nsga2,1.2977237185969877,1.1642646958150582,-0.07280902931941546,0.3596111277964559,3.967401552129936e-14,2.011608893426993,6.354554090493121e-08,4.581772142547693e-08,5.165407283988673e-07,2.9011761633528095,3.561280339062357,8.693565585810873e-09,6.998669885450372e-09,0.01598284723122981,1.0815819691310926,14.491795683241548,254.69823279708837,-9.187929311883535,0.9888248313200665,-0.16332333096478413,-0.9639472676956302,True,41.394044280164344,0.4944035547543264,11.262193423646563,255.55681503128795,0.994286066404128,0.8049355622819147,10.164424594039653,255.6137889047818,0.01598284723122981,1.0815819691310926,10.951698195569449,254.69823279708837,0.9011793675000889,0.5497454893206739,14.491795683241548,255.33487736379192
nsga2,1.2998119002339827,1.0534877037024355,-0.00378679337638347,0.35307431635655306,3.967401552129936e-14,2.004156385538328,6.27838768002147e-08,7.494309735971473e-08,1.7641870855454883e-07,2.975726864692014,3.640869772159774,9.298078472843037e-09,6.10482439978239e-09,0.022625772296153437,2.898571140188742,11.465855976538709,259.544412363405,-9.3817764945362,0.9738206338125466,-0.14567133389711365,-0.9033809619937085,True,48.05611128985747,1.3488233700860388,9.369785345696965,266.50974290840946,1.2911914434518261,2.2720103655729815,8.43560709684446,266.0623297734905,0.022625772296153437,2.898571140188742,8.948518249120523,259.544412363405,1.2373578225143709,1.6830120885192459,11.465855976538709,266.3595970486665
nsga2,0.8172492239267388,0.7159829556861521,-0.3174804227252946,0.40751438932105327,1.863634428327214e-14,2.037921942322932,6.11960646079742e-08,5.533805730027481e-08,1.8108955913288203e-07,2.8978018111381894,3.7286068237518615,9.67278173230652e-09,1.4034832626856406e-09,0.0035752578710773397,22.408635059582075,1.5321821305877084,133.75256720685823,-4.35010268827433,0.9488210525994336,-0.11626006188168664,-0.25304549801393084,True,10.142343747656989,8.753170228960713,1.317922549330945,154.44192365399437,0.3164983748014473,21.976117654490963,1.294539375653153,140.83094211019744,0.0035752578710773397,22.408635059582075,1.4295512875557672,133.75256720685823,0.2647033516441065,4.65794364000201,1.5321821305877084,156.74194741685469
nsga2,0.8027589005902263,0.7195064158291768,-0.031598895729918364,0.36033375625306047,1.783212950224838e-14,2.000599815462915,6.341073974834272e-08,5.547641990808551e-08,2.038852333165215e-07,2.789224481656915,1.6784726988609378,9.633985367867225e-09,2.0912628300132635e-09,0.0030349420478486145,19.40292808014566,1.4034995532624142,156.78840503580432,-5.2715362014321725,0.9542959573328138,-0.12270112627389862,-0.35323573066181135,True,10.40559999005662,7.961301630099149,1.2081198598394605,165.66605662709463,0.22068757838578618,18.997383842173402,1.1895614850177794,159.5762826574506,0.0030349420478486145,19.40292808014566,1.2864771929307623,156.78840503580432,0.2101230252169242,4.435359868136818,1.4034995532624142,168.2658119074662
nsga2,0.8187116811652329,0.857132943367105,-0.3174804227252946,0.41038126761998334,1.863634428327214e-14,2.002057616591044,6.120651840018336e-08,1.0339727312503046e-07,4.3155240540715673e-07,1.6905054323888717,3.728811611089516,9.67278173230652e-09,1.4877118910370057e-09,0.003866549811116729,12.397293935469158,1.852370833951559,140.00293063474396,-4.600117225389758,0.9696467799570061,-0.1407609175964778,-0.5867568688176947,True,10.276408912988085,4.843710824427411,1.5163296409845024,154.57556465781016,0.3663023509886836,12.316510401052419,1.5186796099750053,146.29877857607278,0.003866549811116729,12.397293935469158,1.7057645974789382,140.00293063474396,0.30460472176479675,2.423808722976619,1.852370833951559,151.7679732896994
nsga2,0.8559158025884841,1.047206355149973,-0.2141188429193586,0.6121394066323466,9.708013777616883e-15,2.0203904693641968,6.253033046847927e-08,1.03109658023422e-07,9.867643562443655e-08,2.204287964153975,3.6643046208075334,7.377613109765467e-09,6.0365137527673785e-09,0.0015305867179031913,13.41335298351912,0.9566689074761965,114.16266696961392,-3.566506678784557,0.9856670842286188,-0.1596083343866104,-0.552888233882696,True,3.085402534412209,4.375081054780551,0.7681811488766376,115.03891064280131,0.10472723811716698,11.830042618073643,0.6854417782576291,114.17162423440207,0.0015305867179031913,13.41335298351912,0.7350374417413144,114.16266696961392,0.09568502362320029,3.563851438277686,0.9566689074761965,115.53432076797196
