algorithm,label,run,generation,n_evaluations,n_nondominated,hypervolume
nsga2,NSGA-II,2,15,1500,100,1900.1372537389625
nsga2,NSGA-II,2,16,1600,100,2016.5757535690677
nsga2,NSGA-II,2,17,1700,100,2038.0335936660344
nsga2,NSGA-II,2,18,1800,100,2088.6400850990467
nsga2,NSGA-II,2,19,1900,100,2455.25540243215
nsga2,NSGA-II,2,20,2000,100,2476.9179232357733
nsga2,NSGA-II,2,21,2100,100,2511.9353132354904
nsga2,NSGA-II,2,22,2200,100,2533.888573923231
nsga2,NSGA-II,2,23,2300,100,2533.277602241011
nsga2,NSGA-II,2,24,2400,100,2523.886749139432
nsga2,NSGA-II,2,25,2500,100,2523.15022415013
nsga2,NSGA-II,2,26,2600,100,2534.2152569746318
nsga2,NSGA-II,2,27,2700,100,2533.2885199364373
nsga2,NSGA-II,2,28,2800,100,2524.999284821308
nsga2,NSGA-II,2,29,2900,100,2539.6098444267272
nsga2,NSGA-II,2,30,3000,100,2559.8669471786143
nsga2,NSGA-II,2,31,3100,100,2557.4935101115143
nsga2,NSGA-II,2,32,3200,100,2556.662419792269
nsga2,NSGA-II,2,33,3300,100,2640.0678837819964
nsga2,NSGA-II,2,34,3400,100,2653.6445265689376
nsga2,NSGA-II,2,35,3500,100,2652.1121128948407
nsga2,NSGA-II,2,36,3600,100,2649.6688931126505
nsga2,NSGA-II,2,37,3700,100,2664.907756731094
nsga2,NSGA-II,2,38,3800,100,2686.168095261144
nsga2,NSGA-II,2,39,3900,100,2686.1761697395154
nsga2,NSGA-II,2,40,4000,100,2673.35034380754
nsga2,NSGA-II,3,1,100,11,293.2648489051855
nsga2,NSGA-II,3,2,200,28,389.86224417188726
nsga2,NSGA-II,3,3,300,38,474.09196765674653
nsga2,NSGA-II,3,4,400,61,581.7875912423003
nsga2,NSGA-II,3,5,500,71,707.9555496480514
nsga2,NSGA-II,3,6,600,81,1074.36025894098
nsga2,NSGA-II,3,7,700,91,1217.9128233206686
nsga2,NSGA-II,3,8,800,100,1458.3781560101877
nsga2,NSGA-II,3,9,900,100,1488.395895573971
nsga2,NSGA-II,3,10,1000,100,1611.4849875391349
nsga2,NSGA-II,3,11,1100,100,1816.5661129783762
nsga2,NSGA-II,3,12,1200,100,1923.6977070971031
nsga2,NSGA-II,3,13,1300,100,1974.8547264093145
nsga2,NSGA-II,3,14,1400,100,2107.8064290842917
nsga2,NSGA-II,3,15,1500,100,2144.8044335988693
nsga2,NSGA-II,3,16,1600,100,2181.69375207181
nsga2,NSGA-II,3,17,1700,100,2226.9652183927037
nsga2,NSGA-II,3,18,1800,100,2280.5847469689697
nsga2,NSGA-II,3,19,1900,100,2275.8151094563896
nsga2,NSGA-II,3,20,2000,100,2310.0108635488223
nsga2,NSGA-II,3,21,2100,100,2321.192178102697
nsga2,NSGA-II,3,22,2200,100,2324.038945387454
nsga2,NSGA-II,3,23,2300,100,2328.2045873371485
nsga2,NSGA-II,3,24,2400,100,2401.350535404902
nsga2,NSGA-II,3,25,2500,100,2416.4326210642334
nsga2,NSGA-II,3,26,2600,100,2509.8448661204707
nsga2,NSGA-II,3,27,2700,100,2529.1720081352028
nsga2,NSGA-II,3,28,2800,100,2543.146640675921
nsga2,NSGA-II,3,29,2900,100,2554.358230154987
nsga2,NSGA-II,3,30,3000,100,2581.452658493441
nsga2,NSGA-II,3,31,3100,100,2598.403176026946
nsga2,NSGA-II,3,32,3200,100,2664.836666674503
nsga2,NSGA-II,3,33,3300,100,2705.4501174421935
nsga2,NSGA-II,3,34,3400,100,2699.648939056174
nsga2,NSGA-II,3,35,3500,100,2716.829638569223
nsga2,NSGA-II,3,36,3600,100,2759.5978324195657
nsga2,NSGA-II,3,37,3700,100,2759.6638634898372
nsga2,NSGA-II,3,38,3800,100,2764.3230562640565
nsga2,NSGA-II,3,39,3900,100,2770.4094569431513
nsga2,NSGA-II,3,40,4000,100,2764.957126944047
nsga2,NSGA-II,4,1,100,10,604.332210661272
nsga2,NSGA-II,4,2,200,19,691.371593410938
nsga2,NSGA-II,4,3,300,37,906.6503039643555
nsga2,NSGA-II,4,4,400,60,955.7874958065413
nsga2,NSGA-II,4,5,500,80,1032.9916327266626
nsga2,NSGA-II,4,6,600,100,1193.7590318333948
