feature,mean_abs_shap,mean_shap,importance_pct
num__vwl_overdrive,0.9139558509475928,-0.32222173692630507,9.323797029626798
num__vblpre_ratio,0.8725325255516786,-0.1337485634563433,8.901213512180902
num__vwl_boost,0.871180190307261,-0.2999715828956434,8.88741755111573
num__vdd,0.8690061773121961,-0.21940827373484184,8.865239175776548
num__t_write_pulse,0.6857307192103785,-0.4804703523312685,6.99553926622238
num__cbl_over_cs,0.6708621791544183,-0.013897060250556576,6.843856611677397
num__cbl_ratio,0.6679828777084731,-0.019988605864365443,6.814483177237135
num__temperature_k,0.5328250386944954,-0.009687290734229151,5.435659181939398
num__temperature_c,0.470413726721509,-0.010145792748931404,4.798964964614224
num__cs,0.39378532272999606,0.04778812070301096,4.017233894365757
cat__corner_TT,0.27384267808674184,0.2733389007211682,2.7936289765889546
num__vgs_retention,0.25211133926396273,-0.06549898884424989,2.57193490662314
cat__corner_FF,0.24331911042174442,0.24331911042174442,2.482240248967762
cat__corner_FS,0.22159489444883318,0.22159489444883318,2.260618843350418
num__wacc,0.21801802556549163,0.005535685064870402,2.2241291163736863
