selection,found_by,temperature_c,corner,retention_time_s_predicted,retention_time_s_simulated,read_delay_ns_predicted,read_delay_ns_simulated,total_power_nw_predicted,total_power_nw_simulated,read_margin_mv_predicted,read_margin_mv_simulated,write_efficiency_simulated,read_success,write_success,retention_time_s_rel_error_pct,read_delay_ns_rel_error_pct,total_power_nw_rel_error_pct,read_margin_mv_rel_error_pct
knee,nsga3,27.0,TT,36.21060788407667,24.584729754578866,2.1284351895574174,1.7661499999999999,6.830183910098704,6.787926361116954,259.59933211575054,267.811,0.9979358165335819,True,True,47.28902145988611,20.512707842336013,0.6225398852853283,3.066217550529828
knee,nsga3,85.0,SS,1.1509891405031045,0.8101322003083302,3.791920125255584,2.86055,6.224889308070424,6.974468618028958,253.02268046834044,264.282,0.9892671513114658,True,True,42.074236780743526,32.55912762425351,10.747475557075065,4.260342941123325
knee,nsga3,125.0,SS,0.018793593847412436,0.0121957307114384,4.996639291776914,3.7997300000000003,6.488431077676811,7.232016947598664,245.8779011101356,259.384,0.977187989914041,True,True,54.09977714402867,31.499851088811926,10.28186016860421,5.206989980054438
knee,nsga3,85.0,FF,1.0437323667394467,0.8101322003083302,2.6816363141568944,2.86055,8.017763736360623,6.974468618028958,260.236949491193,264.282,0.9892671513114658,True,True,28.83482058140758,6.254520488825769,14.958775721418455,1.5305811628514165
weighted,nsga3,27.0,TT,46.46881983058575,29.227654844018286,1.2107946019259728,1.0125899999999999,7.355599732079509,7.084351005990307,255.66924192223604,260.126,0.9987669973148384,True,True,58.98921784378479,19.57402324000562,3.8288436846204057,1.7133074270791604
weighted,nsga3,85.0,SS,1.299595841752832,0.8569711706656251,2.243356637186694,1.59772,6.973646975451952,7.36708572624655,242.5028166446962,247.006,0.9926542929148994,True,True,51.649890479210896,40.409873894467985,5.340493723222241,1.8231068699966009
weighted,nsga3,125.0,SS,0.02108416468168486,0.012382268702724354,2.9932700053531613,2.11637,7.3521146213734205,7.844665158921849,230.57483789529408,224.07900000000004,0.979450851411031,True,True,70.27707270676422,41.43415401622408,6.278796195504199,2.8989052500653982
weighted,nsga3,85.0,FF,1.2175463473439112,0.8569711706656251,1.5982583504178338,1.59772,8.824146537045799,7.36708572624655,248.95763164392596,247.006,0.9926542929148994,True,True,42.07553171225361,0.03369491637043965,19.777980940390183,0.7901150757171744
best_retention_time_s,nsga3,27.0,TT,44.021229580755886,28.48213605300917,2.3942774188566016,1.88352,10.407509907155637,9.431857922397786,261.2904486962704,270.14,0.9989300483564014,True,True,54.55733200215857,27.11717522811552,10.344218422130549,3.2759129724326588
best_retention_time_s,nsga3,85.0,SS,1.2748485622306158,0.8976618743440853,4.41441841257455,2.98412,8.85584573198568,9.807568296441746,261.2159973405669,269.89199999999994,0.9981840678610204,True,True,42.01879334155057,47.93032493916298,9.703960611738566,3.2146201663750835
best_retention_time_s,nsga3,125.0,SS,0.023263656007343436,0.013832171129466803,5.848645235969718,3.9092,9.52057428443204,10.248786151753805,260.251313921292,268.30400000000003,0.9941277989173863,True,True,68.18513731213643,49.61233080859813,7.10534746787697,3.001329118726521
best_retention_time_s,nsga3,85.0,FF,1.2016199828614047,0.8976618743440853,3.241478428018418,2.98412,12.75431761916655,9.807568296441746,261.5562863345516,269.89199999999994,0.9981840678610204,True,True,33.86109148719492,8.624265378685108,30.045667118055196,3.0885367722823722
best_read_delay_ns,nsga2,27.0,TT,2.9812225602632907,3.153620017614615,0.00866563941715029,0.119249,4.932526987221023,4.449902855330917,225.82862578466825,239.73200000000006,0.9711470869687169,True,True,5.466652811321423,92.7331554837774,10.845722874869725,5.799548752495205
