model,mean_rank_across_responses
mlp_deep,1.4000000000000001
mlp,2.2333333333333334
catboost,2.733333333333333
lightgbm,4.2
hist_gbr,4.833333333333333
xgboost,5.6000000000000005
poly2_ridge,8.1
random_forest,8.799999999999999
gpr,8.933333333333334
extra_trees,9.066666666666666
svr_rbf,10.1
knn,12.666666666666666
ridge,12.866666666666667
elasticnet,13.466666666666667
