target,model,family,n_compare,n_train,cv_r2_mean,cv_r2_std,test_r2,test_rmse,test_mae,test_mape,fit_time_s,predict_us_per_sample
energy_per_access_fj,mlp_deep,neural,15000,42491,0.9896102755167137,0.002397469540608635,0.9961434231636261,2.673514225908379,1.2368283900035542,4.852692655392734,31.338,2.1654
energy_per_access_fj,mlp,neural,15000,42491,0.989009417421,0.0012313979543483815,0.9956661282696135,2.83412846374263,1.3404424175895195,5.7310106903175315,45.7361,2.7833
energy_per_access_fj,catboost,boosting,15000,42491,0.9783240785625619,0.0016049080897988309,0.9854296456959035,5.196567362874294,2.7228340458116294,9.890737453940698,6.184,2.1846
energy_per_access_fj,lightgbm,boosting,15000,42491,0.9745426594924087,0.0026466083641972543,0.9839650671075022,5.45148822650079,2.768599262176368,9.903674310157832,1.4958,5.2911
energy_per_access_fj,xgboost,boosting,15000,42491,0.9724623807388216,0.0035252136275708106,0.9832242949016478,5.575988849786796,2.662773665348908,9.468126395734263,17.4038,22.0995
energy_per_access_fj,hist_gbr,ensemble,15000,42491,0.973757049892295,0.002530943092000991,0.9821767382185719,5.747448627226367,3.13545562168426,11.205821940712474,4.7097,50.4324
energy_per_access_fj,random_forest,ensemble,15000,42491,0.9426084060255808,0.0020658214992514135,0.9648544081018192,8.07080651743105,4.124532380608265,13.7497167459279,7.1483,22.2246
energy_per_access_fj,poly2_ridge,linear,15000,42491,0.961122588732187,0.0039953196782678575,0.9646160046258526,8.09813364848438,4.7321681012085115,19.875481870894795,0.3578,3.6248
energy_per_access_fj,extra_trees,ensemble,15000,42491,0.9401382966023653,0.0021390070698740294,0.9625475525389813,8.331469462980648,4.404320159689665,14.718158098659098,3.1643,19.971
energy_per_access_fj,gpr,kernel,15000,2000,0.9557230912452909,0.0022768434228534738,0.9601602873608702,8.592896953556249,5.239189676561227,20.982040620001055,27.1413,89.0298
energy_per_access_fj,svr_rbf,kernel,15000,5000,0.9417210741151539,0.0033919315101812865,0.9418569188459202,10.380792888766797,5.438177184145336,19.771569493647526,1.5804,250.8043
energy_per_access_fj,knn,neighbour,15000,42491,0.8525784716596931,0.004291107571670545,0.8794818200934655,14.945408404329754,9.556208410451013,37.5812193972396,0.0824,119.0793
energy_per_access_fj,ridge,linear,15000,42491,0.8357808962810864,0.006533373927037776,0.8374240055066465,17.35840091644102,12.057005388331923,56.32141481274034,0.0897,0.9928
energy_per_access_fj,elasticnet,linear,15000,42491,0.8357137079514849,0.00633630620699695,0.8371311091066433,17.374030300375956,12.06754093155895,56.368254423504595,15.6516,1.0925
log10_retention_time_s,mlp_deep,neural,15000,42491,0.9114020793385065,0.010974119542646809,0.9509762084125553,0.9211752629985721,0.21231943047382998,46.753583115815445,49.8467,2.3629
log10_retention_time_s,mlp,neural,15000,42491,0.9059337241474215,0.011857119942618951,0.9492739449309172,0.9370318712209842,0.29877375405700257,88.47762643391403,19.2274,2.4065
