feature,mean_abs_shap,mean_shap,importance_pct
num__vdd,7.3480655142950875,3.314108738061864,21.482048310044746
num__cs,3.0616484131534674,0.1707977778211267,8.950720293903652
num__vgs_retention,2.5654607357489914,0.23375429028836986,7.500117051987076
num__charge_share_ratio,2.211058652346528,0.37801571256281413,6.46402358466276
num__vwl_low,1.8578522164565745,0.019435152646159217,5.431425589388273
num__sa_aspect,1.7377382363534883,0.4888040886249025,5.080272715442541
cat__corner_FF,1.7162052817082714,-1.7162052817082714,5.017321184723787
num__wsan,1.6939161779581295,0.5439836114911337,4.952159054280524
num__vblpre_ratio,1.2730503169326077,-0.5806284408998232,3.721758925020631
num__sa_drive_ratio,1.1230926015239109,0.31130494586630236,3.2833579770967742
num__cbl_ratio,0.9658172687263372,0.06473754609901844,2.8235639958696
num__inv_thermal_v,0.9188878125832513,-0.12220177479760068,2.6863658663661765
num__wsap_ratio,0.8765802558520326,0.20016230530435164,2.5626798464454374
num__stored_charge_c,0.86882389212194,-0.0504744828598701,2.540004139480662
num__cbl_over_cs,0.7629389251048694,-0.0008281635738406342,2.2304497441989244
