feature,mean_abs_shap,mean_shap,importance_pct
num__vdd,13.273213875581012,-2.5529468903482098,14.137165499640908
num__charge_share_ratio,11.162731959702237,1.09801294027364,11.889312612732505
num__signal_charge_c,8.621429013896972,-2.4042569317116764,9.182596615661948
num__stored_charge_c,7.62422614690913,-1.881419185582059,8.12048595433529
num__sa_drive_ratio,7.1284502030799874,0.3300874594194271,7.592440024061568
num__vblpre_ratio,4.327593360069919,-0.44045813088406244,4.609275803127786
num__vgs_retention,3.9298173808701944,0.5188078151687088,4.185608641395859
num__sa_aspect,3.6590960890558972,-0.36802040137098685,3.8972661387788907
num__wsan,3.5898432610915627,-0.30033569328761944,3.8235056539839376
num__inv_thermal_v,3.385620923568688,0.043831490297416044,3.605990513239019
num__vwl_low,2.6668851976761205,-0.4055825226353331,2.8404723800504215
num__temperature_c,2.3713854607848353,0.0893324836725447,2.5257386068519105
num__cs,2.262832944001786,0.02490288837409884,2.410120422021197
cat__corner_FF,2.1899228165173,2.1899228165173,2.3324645845947867
cat__corner_FS,2.0716574415024884,2.0268835864053645,2.2065013329562833
