feature,mean_abs_shap,mean_shap,importance_pct
num__vwl_overdrive,0.06418508420270594,-0.010007079331899033,15.954568036142613
cat__corner_FF,0.04161577557031584,0.04161577557031584,10.34448627685144
cat__corner_FS,0.03431013365631786,0.03431013365631786,8.528513572095497
num__t_write_pulse,0.031397652492954245,-0.02100070147103886,7.804554424077278
cat__corner_TT,0.028914814406405726,0.028914814406405726,7.187392202252313
cat__corner_SF,0.0280466593253152,0.0280466593253152,6.971593789283996
num__vwl_boost,0.018556530594093134,-0.003491379260408588,4.612620417279741
cat__corner_SS,0.01752579830520448,0.01752579830520448,4.356409980939303
num__wsan,0.01717145840291245,-0.0019587176034054025,4.268331260637493
num__cs,0.017146082613227916,0.00036919149201155357,4.2620235683126815
num__sa_aspect,0.016086145594884135,0.0024204833354724863,3.9985536752175026
num__vdd,0.010199243879670307,-0.005333089888588467,2.5352390265860376
num__temperature_k,0.009581794206596321,0.0012850542379175675,2.3817587758342964
num__cbl_ratio,0.009571275750812772,-0.0007334472359795058,2.3791441898986636
num__charge_share_ratio,0.007638901245899093,0.0014220743369273855,1.8988114008571102
