feature,mean_abs_shap,mean_shap,importance_pct
num__vdd,12.521399226831475,-0.33354149117443854,11.6488523478576
num__cbl_ratio,8.086453071006725,-0.14480061087209098,7.522952997152671
num__cbl_over_cs,7.95636773252804,-0.12858888549398048,7.401932584568739
num__vgs_retention,7.155740419442726,-0.014761258897232033,6.6570965493269485
num__vwl_boost,6.010971706393673,2.390859447204209,5.592100419966264
num__vwl_overdrive,5.952828574312104,2.469918118078378,5.5380089603465725
num__charge_share_ratio,5.504175605649354,0.19162487685908192,5.120620129218084
num__vblpre_ratio,5.4568500220306335,0.22027946677593896,5.076592403093888
num__vwl_low,4.935936453098508,0.05297903358615544,4.59197841223231
cat__corner_FF,4.684716775184558,3.7292625498389573,4.3582648406192375
cat__corner_SF,4.505706355560954,3.0972516826270886,4.191728664498044
cat__corner_SS,4.373658962819321,2.298383787537879,4.068882922332846
cat__corner_TT,4.257589563477937,3.433520926609084,3.96090175580834
cat__corner_FS,4.194293041528305,3.5205393161070915,3.902016017484128
num__t_write_pulse,4.132346422772008,-2.6088487178236086,3.844386115085134
