design_id,read_margin_mv_worst,read_margin_mv_margin,read_margin_mv_worst_corner,read_margin_mv_worst_temp_c,write_efficiency_worst,write_efficiency_margin,write_efficiency_worst_corner,write_efficiency_worst_temp_c,read_delay_ns_worst,read_delay_ns_margin,read_delay_ns_worst_corner,read_delay_ns_worst_temp_c,retention_time_s_worst,retention_time_s_margin,retention_time_s_worst_corner,retention_time_s_worst_temp_c,passes_all_corners
knee_0,245.87790111013567,220.87790111013567,SS,125.0,0.967928531448546,0.11792853144854598,SF,125.0,4.996639291776916,25.003360708223084,SS,125.0,0.016712572308407992,-0.04728742769159201,FF,125.0,False
weighted_1,230.23189300842458,205.23189300842458,SF,125.0,0.9637674693825844,0.11376746938258442,SF,125.0,2.993270005353164,27.006729994646836,SS,125.0,0.017383895774900817,-0.04661610422509918,SF,125.0,False
best_retention_time_s_2,260.22607828920184,235.22607828920184,SF,125.0,0.9774817527331034,0.12748175273310347,SF,125.0,5.848645235969719,24.15135476403028,SS,125.0,0.02050005256310046,-0.04349994743689954,FF,125.0,False
best_read_delay_ns_3,224.21299192121856,199.21299192121856,FS,-40.0,0.9658173387926026,0.11581733879260259,TT,125.0,0.19953772448013823,29.800462275519862,SS,125.0,0.0004558417838954703,-0.06354415821610453,SF,125.0,False
best_total_power_nw_4,72.440022309112,47.440022309111995,SS,55.0,0.9595584691781005,0.10955846917810053,SS,27.0,27.03306491629234,2.9669350837076607,SS,0.0,0.00021641420293793466,-0.06378358579706207,SF,125.0,False
best_read_margin_mv_5,284.16948446800336,259.16948446800336,FS,-40.0,0.9608113940141687,0.11081139401416873,TT,125.0,1.2330083075476244,28.766991692452375,FS,125.0,0.00031700800963263814,-0.06368299199036737,FF,125.0,False
