algorithm,label,runs,hv_median,hv_mean,hv_std,igd_plus_median,spacing_median,spread_median,n_solutions_median,runtime_s_median
nsga2,NSGA-II,7,2851.4698855585493,2857.0848315690555,118.03369852148512,8.868131431091445,3.374947316351543,195.22906521246412,100.0,4.351
nsga3,NSGA-III,7,2700.272179417269,2747.6808858813893,198.1776578277199,9.573690191695558,6.093824716887657,167.8699229903949,40.0,4.467
bayesian,Bayesian optimisation (multi-objective TPE),7,2461.839117670839,2497.6108889155144,93.4871754661496,11.985630554696455,2.6113062644015383,198.91721342953073,245.0,551.373
de,Differential evolution,7,905.6742563529108,950.525175932819,163.24465085014165,31.299572252338038,8.87660326149737,134.03629796750928,12.0,4.564
pso,Particle-swarm optimisation,7,891.4469505692107,892.2044368325651,108.99767683911833,33.44191981344949,8.08753370823954,142.35224672394244,13.0,4.878
moead,MOEA/D,7,434.55597031123153,429.3898633664079,7.685346756308345,0.19029543615411879,0.20405447838173887,4.207647796635028,99.0,249.249
