feature,mean_abs_shap,mean_shap,importance_pct
num__vdd,0.18142704716046812,-0.0446985940083243,18.963621263199485
num__charge_share_ratio,0.06800761311022646,0.009738318635814156,7.108480451075469
num__vblpre_ratio,0.05912908425000534,0.0070766404128436745,6.180454220616562
num__sa_drive_ratio,0.05538599041048155,0.01234368063647578,5.789208179652438
num__stored_charge_c,0.05285738480423079,-0.010614127804038467,5.5249062478763555
num__vgs_retention,0.0510545202461702,0.0011883722722631092,5.336462235789958
num__signal_charge_c,0.048408899445542906,-0.009144822307903835,5.059929317163091
num__wsan,0.04419959875273312,-0.011642655290284321,4.619953109807603
cat__corner_FF,0.03836550471472597,0.03836550471472597,4.010145743804434
num__vwl_low,0.03342376956816105,-0.002565438137743193,3.493611990049342
num__sa_aspect,0.030412898961002723,-0.007466963314575164,3.178901417616616
num__vwl_overdrive,0.030214235324040106,-0.0039314826607334515,3.1581361456844954
cat__corner_TT,0.029774171098268153,0.029537571061285836,3.1121385315490393
num__cs,0.027260778129848305,-0.00845766284765905,2.8494266973176976
cat__corner_SF,0.025209973357338437,0.025209973357338437,2.635066790130093
