indicator,group,n,mean,std,median,iqr,min,max,mean_ci_low,mean_ci_high
n_solutions,bayesian,7,234.85714285714286,23.68845408934186,245.0,37.0,203.0,264.0,218.28571428571428,250.28571428571428
n_solutions,de,7,12.857142857142858,1.9518001458970662,12.0,2.5,11.0,16.0,11.571428571428571,14.285714285714286
n_solutions,moead,7,98.57142857142857,1.7182493859684491,99.0,1.0,95.0,100.0,97.28571428571429,99.57142857142857
n_solutions,nsga2,7,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0
n_solutions,nsga3,7,39.857142857142854,3.184785258515422,40.0,2.5,36.0,46.0,37.857142857142854,42.142857142857146
n_solutions,pso,7,12.714285714285714,0.9511897312113419,13.0,0.5,11.0,14.0,12.0,13.285714285714286
