response,variable,S1,ST,interaction,S1_normalised,n_evaluations
retention_time_s,cs,0.18126107091588436,0.38440107055578626,0.2031399996399019,0.22723729660245753,7680
retention_time_s,vblpre_ratio,0.21407170872551134,0.34790162329023,0.13382991456471865,0.2683702359478393,7680
retention_time_s,cbl_ratio,0.20884867540923338,0.28827424307380173,0.07942556766456835,0.26182239881514163,7680
retention_time_s,vwl_boost,0.13836133019780675,0.197652761754338,0.05929143155653124,0.17345618929428017,7680
retention_time_s,vdd,-0.004126309140301462,0.09581148051786503,0.09993778965816649,0.0,7680
retention_time_s,vwl_low,0.02683933240760468,0.06639367501901348,0.039554342611408805,0.03364703357484331,7680
retention_time_s,t_write_pulse,0.02829094757582277,0.06508177084413455,0.036790823268311776,0.03546684576543814,7680
retention_time_s,wacc,-0.00667700943321704,0.009692726546623944,0.016369735979840982,0.0,7680
retention_time_s,lacc,-0.0054663646691504985,0.0054407016557227374,0.010907066324873236,0.0,7680
retention_time_s,wsan,-0.003113267773461564,0.002813838550996818,0.005927106324458382,0.0,7680
retention_time_s,wsap_ratio,-0.0004605094549226979,0.002715555259598774,0.003176064714521472,0.0,7680
retention_time_s,t_sense_delay,-0.005824050705578401,0.0017187472885662146,0.007542797994144616,0.0,7680
retention_time_s,wen_ratio,-0.005060900028177001,0.0016332757059320366,0.006694175734109038,0.0,7680
read_delay_ns,vdd,0.6196523907591727,0.7608437197158658,0.14119132895669317,0.7937530265992843,7680
read_delay_ns,cbl_ratio,0.06615459586148836,0.1721506628713785,0.10599606700989014,0.08474172208740334,7680
read_delay_ns,cs,0.03326562874862573,0.10821114333278693,0.07494551458416121,0.0426121062303978,7680
read_delay_ns,wsan,0.05227274966833794,0.09405643939961972,0.04178368973128178,0.06695956293669117,7680
read_delay_ns,vwl_boost,-0.0015654148702203793,0.04997785633315258,0.05154327120337296,0.0,7680
read_delay_ns,vblpre_ratio,-0.00018083955272469955,0.03476717572518853,0.03494801527791323,0.0,7680
read_delay_ns,wsap_ratio,0.007755112922615594,0.008498144471817274,0.0007430315492016797,0.009934028248327592,7680
read_delay_ns,t_write_pulse,-0.002908692845933052,0.001666730166911521,0.004575423012844573,0.0,7680
read_delay_ns,lacc,0.00010628324551427013,0.0005543601239667483,0.00044807687845247813,0.00013614511791100985,7680
read_delay_ns,wacc,0.0005884163292327317,0.00046050717785768916,0.0,0.0007537407249517788,7680
read_delay_ns,vwl_low,0.0007424265806373165,0.0004395753772288397,0.0,0.0009510224671071425,7680
read_delay_ns,wen_ratio,0.00012384849512055818,0.0004138422375970087,0.0002899937424764505,0.00015864558792595047,7680
read_delay_ns,t_sense_delay,-0.0007914634007291451,0.00028749026195810533,0.0010789536626872505,0.0,7680
total_power_nw,vdd,0.36143266056711254,0.6522191281645109,0.29078646759739835,0.5052424421306555,7680
total_power_nw,cs,0.18828724334146132,0.34437253371984616,0.15608529037838484,0.26320451090010055,7680
total_power_nw,vwl_low,0.004153398867716939,0.3148491735152734,0.3106957746475565,0.0058059871616896975,7680
total_power_nw,cbl_ratio,0.13458644886517288,0.26786585644139327,0.1332794075762204,0.18813680533363472,7680
total_power_nw,vblpre_ratio,-0.027399648912478786,0.05534523330333436,0.08274488221581314,0.0,7680
total_power_nw,vwl_boost,-0.023026755631339196,0.02882746159643832,0.05185421722777751,0.0,7680
total_power_nw,wacc,-0.00268232731732472,0.013247042066692968,0.015929369384017688,0.0,7680
total_power_nw,wsan,0.015799968956361585,0.012322858436269199,0.0,0.02208658976356782,7680
total_power_nw,lacc,-0.0016955209507242331,0.007411151474199528,0.00910667242492376,0.0,7680
total_power_nw,wsap_ratio,0.010994272277943307,0.005608737770122293,0.0,0.015368763205963795,7680
total_power_nw,t_write_pulse,-0.002658031483766074,0.0037617736802756483,0.006419805164041722,0.0,7680
total_power_nw,wen_ratio,-0.0011239934114448194,0.0008804846099994747,0.002004478021444294,0.0,7680
total_power_nw,t_sense_delay,0.00011081108431952358,0.0005662371846332756,0.00045542610031375203,0.00015490150438783116,7680
read_margin_mv,cbl_ratio,0.3649799762382362,0.5098647134000663,0.14488473716183015,0.5247276105146574,7680
read_margin_mv,vwl_boost,0.22011186869745442,0.31728352423790773,0.09717165554045332,0.31645236020329204,7680
read_margin_mv,vblpre_ratio,0.06325289165074938,0.20313402143372333,0.13988112978297396,0.09093797154607608,7680
read_margin_mv,vdd,0.039100108635904185,0.2005776874904252,0.16147757885452102,0.05621378681330553,7680
read_margin_mv,cs,0.006200246206492459,0.1002324219503376,0.09403217574384515,0.008914024298176058,7680
read_margin_mv,t_write_pulse,-0.0025413870247209605,0.02396704589387304,0.026508432918594,0.0,7680
read_margin_mv,wacc,0.0019157460888624754,0.006644903235597399,0.004729157146734924,0.002754246624492753,7680
read_margin_mv,lacc,-0.0018924967157062148,0.002451510095886086,0.004344006811592301,0.0,7680
read_margin_mv,wsan,-3.741692776005629e-05,0.001032213042258794,0.0010696299700188503,0.0,7680
read_margin_mv,wsap_ratio,-0.0026171450942471136,0.000556701949648214,0.0031738470438953275,0.0,7680
read_margin_mv,wen_ratio,-0.0001309810445632873,0.0003588882149623826,0.0004898692595256699,0.0,7680
read_margin_mv,vwl_low,-0.0018132422316516662,0.00030537073868888194,0.002118612970340548,0.0,7680
read_margin_mv,t_sense_delay,-0.0017002958894737092,0.00010516593539819224,0.0018054618248719014,0.0,7680
