feature,mean_abs_shap,mean_shap,std_shap,importance_pct
num__vdd,0.18142704716046812,-0.0446985940083243,0.23643922011393273,18.963621263199485
num__charge_share_ratio,0.06800761311022646,0.009738318635814156,0.07953918432357057,7.108480451075469
num__vblpre_ratio,0.05912908425000534,0.0070766404128436745,0.07077709203466354,6.180454220616562
num__sa_drive_ratio,0.05538599041048155,0.01234368063647578,0.06590275026087752,5.789208179652438
num__stored_charge_c,0.05285738480423079,-0.010614127804038467,0.061611464814862994,5.5249062478763555
num__vgs_retention,0.0510545202461702,0.0011883722722631092,0.06815196557362557,5.336462235789958
num__signal_charge_c,0.048408899445542906,-0.009144822307903835,0.057512672086850104,5.059929317163091
num__wsan,0.04419959875273312,-0.011642655290284321,0.05068270799730546,4.619953109807603
cat__corner_FF,0.03836550471472597,0.03836550471472597,0.08538826827813327,4.010145743804434
num__vwl_low,0.03342376956816105,-0.002565438137743193,0.04290809099594455,3.493611990049342
num__sa_aspect,0.030412898961002723,-0.007466963314575164,0.0359608315493496,3.178901417616616
num__vwl_overdrive,0.030214235324040106,-0.0039314826607334515,0.04098992339903548,3.1581361456844954
cat__corner_TT,0.029774171098268153,0.029537571061285836,0.06064512181216178,3.1121385315490393
num__cs,0.027260778129848305,-0.00845766284765905,0.03655375132848464,2.8494266973176976
cat__corner_SF,0.025209973357338437,0.025209973357338437,0.05807231001249406,2.635066790130093
cat__corner_FS,0.025189017634226128,0.025189017634226128,0.054070016867697565,2.6328763978891456
num__cbl_over_cs,0.02206533407853739,0.0033909607839069144,0.027884397511600195,2.30637407740673
num__vwl_boost,0.015404973971233351,-0.0025836366538664053,0.02670393146240846,1.610201436511996
num__wacc,0.015383539907613623,0.0014487076875275553,0.01991149063011561,1.6079610458371905
num__t_write_pulse,0.014655817491703664,-0.012997829334823931,0.039749830455400266,1.5318960241326207
num__cbl_ratio,0.012191026400048715,0.0037835588771531824,0.020124866460557052,1.2742642901293064
num__access_aspect,0.010856415607372907,-0.0004552665342972764,0.015492991233811256,1.1347643974606174
cat__corner_SS,0.01067784196540613,0.010147309258631988,0.024467942350641793,1.1160990277329552
num__temperature_k,0.01035978248796405,0.002683454823465514,0.014562897437645966,1.0828539324520519
num__inv_thermal_v,0.010042355331183285,-8.62290290958234e-06,0.012295121202499832,1.0496749303459296
num__wsap_ratio,0.00982585096065594,-0.0008666074313372223,0.013150528052948609,1.0270448597541035
num__wen_ratio,0.007925347881381382,-0.0002006658791891161,0.009881890341233626,0.8283952032173348
num__temperature_c,0.00710739194285118,0.0012246701442294025,0.010233808680261906,0.7428985428734549
num__access_area,0.004830815303383338,0.000189010547774538,0.007118803570384452,0.5049398821158292
num__lacc,0.0037153805391319,0.0007936347309130885,0.005522044327117159,0.388349314479233
num__t_sense_delay,0.0013486209033093499,-0.00013147670624404664,0.0024074661079838684,0.14096429632882804
