feature,value,partial_dependence
vdd,0.7283495496808368,0.15036656398235265
vdd,0.7422358565838552,0.1816732643596727
vdd,0.7561221634868734,0.2123041539289395
vdd,0.7700084703898918,0.24222545384893432
vdd,0.7838947772929102,0.27069165614744284
vdd,0.7977810841959285,0.29869804346135004
vdd,0.8116673910989469,0.32667917688095555
vdd,0.8255536980019653,0.3535124558877759
vdd,0.8394400049049836,0.379233857523076
vdd,0.853326311808002,0.4045677556274402
vdd,0.8672126187110203,0.42917553841856293
vdd,0.8810989256140387,0.45318676467358504
vdd,0.8949852325170571,0.47593849917629183
vdd,0.9088715394200754,0.49713746359904065
vdd,0.9227578463230938,0.5165939690335754
vdd,0.936644153226112,0.5346252720238204
vdd,0.9505304601291305,0.5516036707857163
vdd,0.9644167670321488,0.5673877471966366
vdd,0.9783030739351672,0.582150651938219
vdd,0.9921893808381855,0.5962605757142952
vdd,1.006075687741204,0.609921371782789
vdd,1.0199619946442222,0.6227048888992825
vdd,1.0338483015472406,0.6351775719957411
vdd,1.047734608450259,0.6471121821569866
vdd,1.0616209153532774,0.6585811608103186
vdd,1.0755072222562956,0.6695042101594513
vdd,1.089393529159314,0.6801966538270466
vdd,1.1032798360623324,0.6905350406036702
vdd,1.1171661429653508,0.7006148023235924
vdd,1.1310524498683692,0.7103924372444442
vdd,1.1449387567713876,0.7199191953262482
vdd,1.158825063674406,0.7293472707134055
vdd,1.1727113705774241,0.7387418954918501
vdd,1.1865976774804425,0.7480265186268591
vdd,1.200483984383461,0.7572440004763951
vdd,1.2143702912864793,0.7663556483801524
vdd,1.2282565981894975,0.7753616976300337
vdd,1.242142905092516,0.7843485594747677
vdd,1.2560292119955343,0.7932944278801665
vdd,1.2699155188985527,0.8022167308415206
charge_share_ratio,0.0796372820305189,0.6049561535210899
charge_share_ratio,0.0848308920960888,0.5971074581890479
charge_share_ratio,0.09002450216165869,0.5892828766549901
charge_share_ratio,0.09521811222722859,0.5814533692609128
charge_share_ratio,0.10041172229279849,0.573629020073049
charge_share_ratio,0.10560533235836839,0.5658128426994262
charge_share_ratio,0.11079894242393827,0.5580303225257012
charge_share_ratio,0.11599255248950817,0.550284969708564
charge_share_ratio,0.12118616255507807,0.5425705333123372
charge_share_ratio,0.12637977262064798,0.5348647632739717
charge_share_ratio,0.13157338268621788,0.5272153606413315
charge_share_ratio,0.13676699275178775,0.5196242076090384
charge_share_ratio,0.14196060281735765,0.5121057309773364
charge_share_ratio,0.14715421288292754,0.5046360814929466
charge_share_ratio,0.15234782294849744,0.49723963609210686
charge_share_ratio,0.15754143301406734,0.4898891513918708
charge_share_ratio,0.16273504307963724,0.4825787251400992
charge_share_ratio,0.16792865314520714,0.47529493041248205
charge_share_ratio,0.17312226321077703,0.4680334739409073
charge_share_ratio,0.17831587327634693,0.46083450677808346
charge_share_ratio,0.18350948334191683,0.45365127570887354
charge_share_ratio,0.1887030934074867,0.4465014865197684
charge_share_ratio,0.1938967034730566,0.43942299580223926
charge_share_ratio,0.1990903135386265,0.43235695171962757
charge_share_ratio,0.2042839236041964,0.42535340690892
charge_share_ratio,0.2094775336697663,0.4184029953305658
charge_share_ratio,0.2146711437353362,0.4114976543164906
charge_share_ratio,0.2198647538009061,0.40465423809571816
charge_share_ratio,0.22505836386647599,0.3978659891346928
charge_share_ratio,0.23025197393204588,0.39114547373127817
charge_share_ratio,0.23544558399761578,0.38451526554642723
charge_share_ratio,0.24063919406318568,0.3779386797699557
charge_share_ratio,0.24583280412875558,0.3714156134082764
charge_share_ratio,0.2510264141943255,0.3649240254938077
charge_share_ratio,0.2562200242598954,0.3585104858117812
charge_share_ratio,0.26141363432546527,0.35213940092848056
charge_share_ratio,0.26660724439103517,0.3458313043354069
charge_share_ratio,0.27180085445660507,0.33957980009005745
charge_share_ratio,0.27699446452217497,0.3333833018392963
charge_share_ratio,0.28218807458774486,0.3272812871914529
vblpre_ratio,0.3620020759995882,0.6229877659565822
vblpre_ratio,0.3690193280913984,0.6168546921591339
vblpre_ratio,0.3760365801832086,0.6108182043753566
vblpre_ratio,0.3830538322750188,0.6047650773580514
vblpre_ratio,0.390071084366829,0.5987937162658256
vblpre_ratio,0.3970883364586392,0.5928314679243317
vblpre_ratio,0.4041055885504494,0.5868329608052357
vblpre_ratio,0.4111228406422596,0.5807422427920077
vblpre_ratio,0.4181400927340698,0.5746311143984371
vblpre_ratio,0.42515734482588,0.5685538679535191
vblpre_ratio,0.4321745969176902,0.5625547304467395
vblpre_ratio,0.4391918490095004,0.5566681508644781
vblpre_ratio,0.4462091011013106,0.5509616281842084
vblpre_ratio,0.4532263531931209,0.5453322094264138
vblpre_ratio,0.460243605284931,0.5397082717626404
vblpre_ratio,0.4672608573767413,0.5341943403488478
vblpre_ratio,0.4742781094685514,0.5287400419104892
vblpre_ratio,0.4812953615603617,0.5234129960801895
vblpre_ratio,0.4883126136521718,0.5181630256865085
vblpre_ratio,0.4953298657439821,0.5130346997139683
vblpre_ratio,0.5023471178357922,0.5080186748346063
vblpre_ratio,0.5093643699276025,0.5031061258944861
vblpre_ratio,0.5163816220194126,0.4982315955267062
vblpre_ratio,0.5233988741112229,0.49341633635912
vblpre_ratio,0.5304161262030331,0.4886802932670947
vblpre_ratio,0.5374333782948433,0.48403867148530283
vblpre_ratio,0.5444506303866534,0.479503421158137
vblpre_ratio,0.5514678824784637,0.4750604080453077
vblpre_ratio,0.5584851345702739,0.47067186902797864
vblpre_ratio,0.5655023866620841,0.4662801910822575
vblpre_ratio,0.5725196387538942,0.4619102766698765
vblpre_ratio,0.5795368908457045,0.45760464816308244
vblpre_ratio,0.5865541429375147,0.4532946471271426
vblpre_ratio,0.5935713950293249,0.44897660372580867
vblpre_ratio,0.600588647121135,0.4446970525183558
vblpre_ratio,0.6076058992129453,0.4403638853510072
vblpre_ratio,0.6146231513047555,0.4360104638395352
vblpre_ratio,0.6216404033965657,0.4316160995012109
vblpre_ratio,0.6286576554883758,0.4271601360723553
vblpre_ratio,0.6356749075801861,0.42262388348994934
sa_drive_ratio,546755.4790703336,0.5825822053890805
sa_drive_ratio,800781.3984340996,0.574910450778956
sa_drive_ratio,1054807.3177978655,0.5672842024249026
sa_drive_ratio,1308833.2371616315,0.5597232544172532
sa_drive_ratio,1562859.1565253974,0.5521932207544746
sa_drive_ratio,1816885.0758891632,0.5447035192815056
sa_drive_ratio,2070910.9952529292,0.537287311158765
sa_drive_ratio,2324936.914616695,0.5299395345183826
sa_drive_ratio,2578962.833980461,0.5226744517022593
sa_drive_ratio,2832988.753344227,0.515456345721798
sa_drive_ratio,3087014.672707993,0.5083025361839034
sa_drive_ratio,3341040.592071759,0.5012190024464596
sa_drive_ratio,3595066.511435525,0.4942013889451729
sa_drive_ratio,3849092.430799291,0.48725487925546696
sa_drive_ratio,4103118.350163057,0.4803866048239643
sa_drive_ratio,4357144.2695268225,0.47359466694029606
sa_drive_ratio,4611170.1888905885,0.46691039727200156
sa_drive_ratio,4865196.108254354,0.46032799133250624
sa_drive_ratio,5119222.02761812,0.453837915189461
sa_drive_ratio,5373247.946981886,0.4474557564915528
sa_drive_ratio,5627273.866345652,0.44115946330724903
sa_drive_ratio,5881299.785709418,0.4349618206815326
sa_drive_ratio,6135325.705073184,0.4288583746190875
sa_drive_ratio,6389351.62443695,0.4228472803923222
sa_drive_ratio,6643377.543800716,0.4169377106594482
sa_drive_ratio,6897403.463164482,0.41112869363065113
sa_drive_ratio,7151429.382528248,0.40545786350622975
sa_drive_ratio,7405455.301892014,0.39989481029812296
sa_drive_ratio,7659481.22125578,0.394437876684075
sa_drive_ratio,7913507.140619546,0.38908244997381725
sa_drive_ratio,8167533.059983312,0.3838299894151544
sa_drive_ratio,8421558.979347078,0.37867904881916725
sa_drive_ratio,8675584.898710843,0.3736354207691994
sa_drive_ratio,8929610.81807461,0.3686701579453153
sa_drive_ratio,9183636.737438375,0.36380579665304047
sa_drive_ratio,9437662.656802142,0.35902052591318373
sa_drive_ratio,9691688.576165907,0.35436738752979247
sa_drive_ratio,9945714.495529674,0.34984226430521415
sa_drive_ratio,10199740.414893439,0.345410598196134
sa_drive_ratio,10453766.334257206,0.3411027298098688
vgs_retention,-0.9771623014886799,0.630182787570863
vgs_retention,-0.9627729159727104,0.6255164726977046
vgs_retention,-0.948383530456741,0.620789128573165
vgs_retention,-0.9339941449407715,0.6160010208229794
vgs_retention,-0.919604759424802,0.611245715927505
vgs_retention,-0.9052153739088326,0.6064576141317385
vgs_retention,-0.8908259883928631,0.6016216766965926
vgs_retention,-0.8764366028768936,0.5966544369966871
vgs_retention,-0.8620472173609242,0.5916551371886988
vgs_retention,-0.8476578318449547,0.5866159649047621
vgs_retention,-0.8332684463289852,0.5815954934989361
vgs_retention,-0.8188790608130158,0.576667211431335
vgs_retention,-0.8044896752970463,0.571763870948074
vgs_retention,-0.7901002897810769,0.5667995134284983
vgs_retention,-0.7757109042651074,0.561776337359205
vgs_retention,-0.761321518749138,0.5566941477289702
vgs_retention,-0.7469321332331684,0.551469362641188
vgs_retention,-0.7325427477171991,0.5460773103705037
vgs_retention,-0.7181533622012295,0.5405850025520835
vgs_retention,-0.7037639766852601,0.5351587928848672
vgs_retention,-0.6893745911692906,0.5298138743309356
vgs_retention,-0.6749852056533212,0.5245614908992916
vgs_retention,-0.6605958201373516,0.5192329194849031
vgs_retention,-0.6462064346213823,0.5139066397778655
vgs_retention,-0.6318170491054128,0.5086576415509924
vgs_retention,-0.6174276635894433,0.5034491146208564
vgs_retention,-0.6030382780734739,0.4981868612062036
vgs_retention,-0.5886488925575044,0.49291632902229915
vgs_retention,-0.574259507041535,0.48760107582783035
vgs_retention,-0.5598701215255655,0.48223545118353434
vgs_retention,-0.545480736009596,0.4766940448175902
vgs_retention,-0.5310913504936265,0.47104622312976313
vgs_retention,-0.5167019649776571,0.46534593885285397
vgs_retention,-0.5023125794616876,0.45961833344658204
vgs_retention,-0.48792319394571815,0.4539252668295477
vgs_retention,-0.4735338084297487,0.44825247341655416
vgs_retention,-0.4591444229137792,0.44244378953851543
vgs_retention,-0.44475503739780975,0.4364404004641518
vgs_retention,-0.4303656518818403,0.4304298530561076
vgs_retention,-0.4159762663658709,0.4244562016323206
wsan,9.692360557521027e-08,0.4660467681013003
wsan,1.0690359200107112e-07,0.47088876361149695
wsan,1.1688357842693197e-07,0.47568031013036544
wsan,1.2686356485279282e-07,0.48035596643022044
wsan,1.3684355127865366e-07,0.4850198847922131
wsan,1.4682353770451453e-07,0.4895726607778309
wsan,1.5680352413037536e-07,0.49400210337409495
wsan,1.667835105562362e-07,0.4983768503985917
wsan,1.7676349698209707e-07,0.502735523026202
wsan,1.8674348340795793e-07,0.5070700137418366
wsan,1.9672346983381877e-07,0.5113677777252322
wsan,2.067034562596796e-07,0.5156667479441417
wsan,2.1668344268554045e-07,0.519879282224247
wsan,2.2666342911140134e-07,0.5239857202424383
wsan,2.3664341553726218e-07,0.5280945924857026
wsan,2.46623401963123e-07,0.5321958966286261
wsan,2.5660338838898386e-07,0.5362689285147586
wsan,2.665833748148447e-07,0.540292522543949
wsan,2.765633612407056e-07,0.5442482765092557
wsan,2.865433476665664e-07,0.5481294238018867
wsan,2.9652333409242726e-07,0.5519317628542274
wsan,3.065033205182881e-07,0.5556970192659951
wsan,3.16483306944149e-07,0.5594620303443321
wsan,3.2646329337000983e-07,0.5632121924926091
wsan,3.3644327979587067e-07,0.5669613558252543
wsan,3.464232662217315e-07,0.5706834493559781
wsan,3.564032526475924e-07,0.5743784866228044
wsan,3.6638323907345324e-07,0.5780391202670289
wsan,3.763632254993141e-07,0.5816757605392625
wsan,3.863432119251749e-07,0.5852575249615125
wsan,3.963231983510358e-07,0.5888224280945112
wsan,4.0630318477689665e-07,0.5923728009940162
wsan,4.162831712027575e-07,0.5959343297581938
wsan,4.262631576286183e-07,0.5994874775695765
wsan,4.3624314405447916e-07,0.6030450799850692
wsan,4.4622313048034006e-07,0.6065842005025671
wsan,4.562031169062009e-07,0.6101187990645278
wsan,4.6618310333206173e-07,0.6136431680046353
wsan,4.7616308975792257e-07,0.6171392897796543
wsan,4.861430761837835e-07,0.6206113917691137
