feature,mean_abs_shap,mean_shap,std_shap,importance_pct
num__vdd,13.273213875581012,-2.5529468903482098,16.329388219264192,14.137165499640908
num__charge_share_ratio,11.162731959702237,1.09801294027364,13.443925829874242,11.889312612732505
num__signal_charge_c,8.621429013896972,-2.4042569317116764,11.299652459612682,9.182596615661948
num__stored_charge_c,7.62422614690913,-1.881419185582059,9.567901726434542,8.12048595433529
num__sa_drive_ratio,7.1284502030799874,0.3300874594194271,8.785177820608853,7.592440024061568
num__vblpre_ratio,4.327593360069919,-0.44045813088406244,5.42619456506916,4.609275803127786
num__vgs_retention,3.9298173808701944,0.5188078151687088,5.334040356861621,4.185608641395859
num__sa_aspect,3.6590960890558972,-0.36802040137098685,4.2935457080698,3.8972661387788907
num__wsan,3.5898432610915627,-0.30033569328761944,4.278007586252784,3.8235056539839376
num__inv_thermal_v,3.385620923568688,0.043831490297416044,3.968957872320601,3.605990513239019
num__vwl_low,2.6668851976761205,-0.4055825226353331,3.4297451141896045,2.8404723800504215
num__temperature_c,2.3713854607848353,0.0893324836725447,2.8925967369405794,2.5257386068519105
num__cs,2.262832944001786,0.02490288837409884,3.753446259023231,2.410120422021197
cat__corner_FF,2.1899228165173,2.1899228165173,5.103353839990675,2.3324645845947867
cat__corner_FS,2.0716574415024884,2.0268835864053645,4.166379336401933,2.2065013329562833
cat__corner_TT,1.6831052466349394,1.6378460218958433,3.6672955354045134,1.7926583303812327
num__cbl_ratio,1.6332776856114664,0.32201045927824135,2.5684307853004804,1.7395875004198296
num__cbl_over_cs,1.521488365322822,0.4603795969275191,2.600914614396436,1.620521828998653
cat__corner_SF,1.4964923833035528,1.4964923833035528,3.5355340294663447,1.5938988620258565
num__temperature_k,1.4785042099702885,0.047758838846839374,1.9270430592570502,1.5747398410206708
num__wacc,1.2855988389906883,0.04127284939289146,1.544369941927524,1.3692782865794062
cat__corner_SS,0.9370665249387333,0.713420473288429,2.1989520024721583,0.9980600532327649
num__wsap_ratio,0.9045269820504862,-0.05103621676377629,1.1777860141270948,0.9634025160751579
num__vwl_boost,0.8976492010473077,-0.43248778282323647,1.771444924334015,0.9560770612739586
num__access_area,0.8801381336023129,0.044730372326207544,1.0908161684225566,0.9374262009121963
num__access_aspect,0.8647958124511093,-0.0395153247931113,1.099102504566298,0.9210852502354174
num__vwl_overdrive,0.6952862684235531,-0.4202529620524043,1.5535239259131486,0.7405423538314875
num__t_write_pulse,0.6605489157111257,-0.43074323887625227,1.3892960755884889,0.7035439517174036
num__wen_ratio,0.45539107031720966,-0.04258094851328145,0.5932148041884766,0.4850324110257128
num__lacc,0.16896662403706045,0.09024265048519263,0.28172617548722567,0.17996463782762379
num__t_sense_delay,0.06124941519128339,0.013616700610162222,0.10191243947561052,0.06523613101031948
