feature,value,ale
vdd,0.7000662068377658,-24.874957983866565
vdd,0.7243449685055396,-22.636085883968548
vdd,0.7439848664030182,-20.97875269498377
vdd,0.7679245256085186,-18.771755437392727
vdd,0.7952206312792324,-16.983538367788988
vdd,0.8219272774833555,-14.731043455510097
vdd,0.8458487995899845,-12.789954299370304
vdd,0.8683344241856644,-10.715141647072349
vdd,0.890741335350458,-9.175673889046829
vdd,0.9125204640468855,-7.479743646953324
vdd,0.9363854927714778,-5.919711777677591
vdd,0.9616169768168062,-3.9652956106400374
vdd,0.9839165112678342,-1.9169656193132276
vdd,1.0102953002994002,0.39173619141472216
vdd,1.036185341987128,2.605935017455721
vdd,1.0596423929213443,4.3430560847418995
vdd,1.0844831258919845,6.643090335399393
vdd,1.1081236155463803,8.681438821920594
vdd,1.131621240648423,10.720020063465853
vdd,1.1578086475521974,13.070464716801162
vdd,1.1815418544392373,15.254179041169955
vdd,1.2058418629186154,17.33043181418069
vdd,1.229249809044856,19.535226790914948
vdd,1.2510063121640944,21.706161476047114
vdd,1.2768133222704325,24.185919553546768
vdd,1.299950922511167,26.470960406525577
cbl_ratio,2.0018078547432934,20.690175579035483
cbl_ratio,2.419929733554016,18.0182303718743
cbl_ratio,2.8316114501171654,15.452704272826853
cbl_ratio,3.219591452688292,13.193234086576377
cbl_ratio,3.5627429562719923,11.337108134103667
cbl_ratio,3.986202141474959,9.14656660153581
cbl_ratio,4.4007604467296035,7.213821060855109
cbl_ratio,4.8656272344254194,5.174530515166154
cbl_ratio,5.285510153287137,3.463015044776501
cbl_ratio,5.686726918654354,1.9839002379549413
cbl_ratio,6.063565591312609,0.6051825732088965
cbl_ratio,6.422744155678092,-0.5515809515615082
cbl_ratio,6.822162036968591,-1.6797100200309245
cbl_ratio,7.268112166058406,-2.9412914971941504
cbl_ratio,7.680983770998421,-4.075596725416261
cbl_ratio,8.08544223363115,-4.964027615885652
cbl_ratio,8.46836455633037,-5.8283535068578765
cbl_ratio,8.835506472335554,-6.6472022329334735
cbl_ratio,9.268623483434373,-7.578119452937507
cbl_ratio,9.641360820994551,-8.318462498191394
cbl_ratio,10.007604578870009,-8.979368343720967
cbl_ratio,10.416952336286878,-9.689168543903072
cbl_ratio,10.780089428748166,-10.299232158765882
cbl_ratio,11.198723837679982,-10.974997296945485
cbl_ratio,11.616635441846467,-11.609666232699794
cbl_ratio,11.996893680493212,-12.14169140087008
cbl_over_cs,2.0018078547432934,20.722558922741612
cbl_over_cs,2.419929733554016,17.97872902604331
cbl_over_cs,2.8316114501171654,15.359518567246896
cbl_over_cs,3.219591452688292,13.06485909532379
cbl_over_cs,3.5627429562719923,11.195590995714298
