feature,mean_abs_shap,mean_shap,std_shap,importance_pct
num__vdd,12.521399226831475,-0.33354149117443854,15.769014357332415,11.6488523478576
num__cbl_ratio,8.086453071006725,-0.14480061087209098,9.845565772997725,7.522952997152671
num__cbl_over_cs,7.95636773252804,-0.12858888549398048,9.766170717969565,7.401932584568739
num__vgs_retention,7.155740419442726,-0.014761258897232033,9.216306429740566,6.6570965493269485
num__vwl_boost,6.010971706393673,2.390859447204209,9.53188885661483,5.592100419966264
num__vwl_overdrive,5.952828574312104,2.469918118078378,9.787009650685642,5.5380089603465725
num__charge_share_ratio,5.504175605649354,0.19162487685908192,8.679501274903645,5.120620129218084
num__vblpre_ratio,5.4568500220306335,0.22027946677593896,7.439607434930856,5.076592403093888
num__vwl_low,4.935936453098508,0.05297903358615544,6.394905454388323,4.59197841223231
cat__corner_FF,4.684716775184558,3.7292625498389573,10.897572017521897,4.3582648406192375
cat__corner_SF,4.505706355560954,3.0972516826270886,9.957351602281808,4.191728664498044
cat__corner_SS,4.373658962819321,2.298383787537879,10.659435472240755,4.068882922332846
cat__corner_TT,4.257589563477937,3.433520926609084,9.632995298192052,3.96090175580834
cat__corner_FS,4.194293041528305,3.5205393161070915,10.113359454474773,3.902016017484128
num__t_write_pulse,4.132346422772008,-2.6088487178236086,6.440816726253895,3.844386115085134
num__cs,3.5574079789719657,0.8769877378607867,4.463869901397698,3.309511943308688
num__signal_charge_c,1.932046781547952,-0.5461106786923298,2.8197100733938343,1.7974131548476096
num__stored_charge_c,1.906576354853421,0.5895284471338059,3.0002677162453075,1.773717620951866
num__wacc,1.8459831871692916,-0.045162478883041555,2.158610463630351,1.7173468551249216
num__temperature_k,1.7717431235901986,0.11546217649872116,2.1220159649028454,1.6482801699037322
num__inv_thermal_v,1.621529115193273,0.016746396603749995,2.4474342970934857,1.5085337427914949
num__temperature_c,0.9039467941249641,0.032625120233279084,1.2768965712604514,0.8409557545706918
num__sa_drive_ratio,0.8925608946346686,0.05581774487447943,1.4066026012207522,0.830363275279257
num__lacc,0.8834379212277773,-0.02518894806550476,1.2115626253835745,0.8218760313007579
num__wsan,0.5465363062970233,0.05969211221879782,0.6759965258305427,0.5084512217416568
num__access_area,0.4669422273600652,0.015411739127820361,0.6614923334759208,0.43440361280402773
num__wsap_ratio,0.3860149852021045,-0.029225444961869934,0.5100299127802028,0.3591157413976664
num__access_aspect,0.37331369150977983,-0.10251717357926612,0.6123623380002056,0.3472995304320725
num__sa_aspect,0.24594035635618916,0.02621623181140329,0.3263576319731916,0.22880213669999677
num__wen_ratio,0.22219981792108753,0.03221817399146322,0.3099992623572636,0.20671594474338764
num__t_sense_delay,0.20519719949302903,-0.15893470014701813,0.4351949570095053,0.19089814451136553
