feature,mean_abs_shap,mean_shap,std_shap,importance_pct
num__vwl_overdrive,0.06418508420270594,-0.010007079331899033,0.07845550637427924,15.954568036142613
cat__corner_FF,0.04161577557031584,0.04161577557031584,0.07587011765691351,10.34448627685144
cat__corner_FS,0.03431013365631786,0.03431013365631786,0.06716263615317768,8.528513572095497
num__t_write_pulse,0.031397652492954245,-0.02100070147103886,0.05306288408282156,7.804554424077278
cat__corner_TT,0.028914814406405726,0.028914814406405726,0.06017268764775335,7.187392202252313
cat__corner_SF,0.0280466593253152,0.0280466593253152,0.054217575788337045,6.971593789283996
num__vwl_boost,0.018556530594093134,-0.003491379260408588,0.024207140113096774,4.612620417279741
cat__corner_SS,0.01752579830520448,0.01752579830520448,0.04432444356071605,4.356409980939303
num__wsan,0.01717145840291245,-0.0019587176034054025,0.020563413938242382,4.268331260637493
num__cs,0.017146082613227916,0.00036919149201155357,0.024712642315264467,4.2620235683126815
num__sa_aspect,0.016086145594884135,0.0024204833354724863,0.019165809797427862,3.9985536752175026
num__vdd,0.010199243879670307,-0.005333089888588467,0.019966305512801773,2.5352390265860376
num__temperature_k,0.009581794206596321,0.0012850542379175675,0.013475232503104185,2.3817587758342964
num__cbl_ratio,0.009571275750812772,-0.0007334472359795058,0.011349058396808047,2.3791441898986636
num__charge_share_ratio,0.007638901245899093,0.0014220743369273855,0.008662810830325579,1.8988114008571102
num__lacc,0.006642297856256348,0.0004106783454272227,0.0082810745666294,1.6510844284208075
num__inv_thermal_v,0.00558509830494506,-0.00021660110702623295,0.007425898475682562,1.388294990988484
num__vgs_retention,0.005065419633525924,-0.0008566141849988561,0.009318937767772973,1.2591178025017662
num__temperature_c,0.004844571114876128,0.0012941695601887137,0.006287131609417222,1.2042212052588366
num__access_aspect,0.00437192547028541,0.00029120655682514206,0.0065499098329638026,1.0867350760859908
num__access_area,0.004249638618668504,0.00011975869191600558,0.005871572379207615,1.0563380778069833
num__stored_charge_c,0.0036859813246387487,-3.7014709896258946e-05,0.005990337607331078,0.916229067148606
num__cbl_over_cs,0.0035403101902121846,0.000277891782501986,0.0053885253856253,0.8800194079422586
num__vwl_low,0.0033321390076383618,0.0004699647260744383,0.005589634142205171,0.8282740322557638
num__signal_charge_c,0.002816780042463167,0.0002766518786027541,0.004673138093002783,0.7001705986456065
num__wacc,0.0018970080847656027,-0.00012628689660643778,0.003027685746983314,0.47154171299240016
num__vblpre_ratio,0.0017273579347210346,0.00047224999386213896,0.0031187836316072396,0.42937155936792687
num__sa_drive_ratio,0.0016130442107630172,0.00013949899075724957,0.002244528511458464,0.4009564515744541
num__wen_ratio,0.00042055705961647723,8.125139533937589e-05,0.000544040035438845,0.1045384033390159
num__wsap_ratio,0.0003368294082774514,4.971999290054208e-05,0.00045293145916453496,0.08372611452786252
num__t_sense_delay,0.00022279515403563667,5.4428749559082955e-05,0.0003084848734878112,0.05538047487728594
