feature,mean_abs_shap,mean_shap,std_shap,importance_pct
num__vwl_overdrive,0.9139558509475928,-0.32222173692630507,1.3225416770260143,9.323797029626798
num__vblpre_ratio,0.8725325255516786,-0.1337485634563433,1.1979804220101111,8.901213512180902
num__vwl_boost,0.871180190307261,-0.2999715828956434,1.2472917674787622,8.88741755111573
num__vdd,0.8690061773121961,-0.21940827373484184,1.275443255517731,8.865239175776548
num__t_write_pulse,0.6857307192103785,-0.4804703523312685,1.0844432239603508,6.99553926622238
num__cbl_over_cs,0.6708621791544183,-0.013897060250556576,0.8905209890842481,6.843856611677397
num__cbl_ratio,0.6679828777084731,-0.019988605864365443,0.8809170724307411,6.814483177237135
num__temperature_k,0.5328250386944954,-0.009687290734229151,0.6677515085526533,5.435659181939398
num__temperature_c,0.470413726721509,-0.010145792748931404,0.5902160873213395,4.798964964614224
num__cs,0.39378532272999606,0.04778812070301096,0.5959280265540403,4.017233894365757
cat__corner_TT,0.27384267808674184,0.2733389007211682,0.5974967516933535,2.7936289765889546
num__vgs_retention,0.25211133926396273,-0.06549898884424989,0.4179609350094116,2.57193490662314
cat__corner_FF,0.24331911042174442,0.24331911042174442,0.6786817612464434,2.482240248967762
cat__corner_FS,0.22159489444883318,0.22159489444883318,0.5979918112476429,2.260618843350418
num__wacc,0.21801802556549163,0.005535685064870402,0.32837745127556356,2.2241291163736863
num__lacc,0.2162431407831902,0.00754751548272668,0.3128252050586387,2.2060224808682687
num__sa_drive_ratio,0.19064634725385235,0.01571317535848319,0.2556030190165563,1.9448946515214047
num__inv_thermal_v,0.1668398497672644,0.0027537927657439775,0.21914761793613727,1.7020306769419646
num__signal_charge_c,0.15212833494698455,-0.02951978844048576,0.19158281955292497,1.5519499284677136
cat__corner_SF,0.14533255152775548,0.1418702682968356,0.43435396287056993,1.4826221757184967
num__charge_share_ratio,0.13127954501926908,0.012381628812422187,0.20062502761395876,1.3392592548451285
cat__corner_SS,0.12756068169833576,0.12625734637733615,0.32167768454151247,1.3013209597410968
num__stored_charge_c,0.11781239417403298,0.025853818643352452,0.20772698117401328,1.2018729895040159
num__access_aspect,0.09923983867508632,8.943271556977064e-05,0.1532181360499845,1.0124035117233137
num__vwl_low,0.09108303697774803,-0.02928991183021569,0.14821478206665645,0.9291912172147263
num__sa_aspect,0.053231180737243956,-0.0014444689594539336,0.08071006237256242,0.5430423409695987
num__wsan,0.05213602322812763,-0.009373838565607579,0.06897717243515394,0.5318700000738262
num__access_area,0.05173619304520128,0.005084937690467008,0.08774185273918363,0.5277910990327543
num__wsap_ratio,0.019876041917376935,0.008639728254173619,0.05006988050034888,0.20276710346329763
num__t_sense_delay,0.01569367004012807,-0.0033906048584117976,0.025055968162196216,0.16010028706789206
num__wen_ratio,0.014400202144789815,0.001623146182651591,0.025301373824693527,0.14690486618627227
