feature,importance_mean,importance_std
vdd,0.6266174539652021,0.021535947653228787
vwl_overdrive,0.3275550650607991,0.013588604537445186
vwl_boost,0.3270592063102883,0.013487048590251887
vgs_retention,0.2742269114955065,0.013279249766606657
vblpre_ratio,0.22823613632886,0.020785699046262925
corner,0.2094981140971596,0.014556311042037726
cbl_over_cs,0.17899742724322884,0.0044667350981172005
cbl_ratio,0.16262609134321543,0.0029701644822682652
vwl_low,0.1405646247155568,0.007363313682922169
charge_share_ratio,0.13214519130461458,0.002350693817118496
cs,0.1044469027830131,0.007469302479205764
stored_charge_c,0.05846965344431147,0.0049221821268245584
t_write_pulse,0.058447083003795045,0.002892214545342683
signal_charge_c,0.055208888268276475,0.006936856183374357
inv_thermal_v,0.031091356604202716,0.002850799166095336
temperature_k,0.008110662200066938,0.0004014103102652045
sa_drive_ratio,0.0076356413575792,0.001670212389010414
wacc,0.006667562634030551,0.00016402042938618673
temperature_c,0.005940830416680262,0.0005135248622348775
lacc,0.004312012761228664,0.000184381417133402
access_aspect,0.002633117929619777,0.00030730669504869446
wsan,0.002341120707785908,0.00021591097932819524
access_area,0.0015570223529965215,0.000147804798228026
wsap_ratio,0.0008711910271597789,0.000137644006442468
sa_aspect,0.0007559189267034805,8.899247652391082e-05
t_sense_delay,0.0004346222252354703,0.00014306928121473583
wen_ratio,0.0002444375343512902,7.426393725210374e-05
