feature_1,feature_2,value_1,value_2,partial_dependence
vdd,charge_share_ratio,0.7272236739551361,0.08041915192272486,0.21272083167169994
vdd,charge_share_ratio,0.7272236739551361,0.0915039667034035,0.19711768852686362
vdd,charge_share_ratio,0.7272236739551361,0.10258878148408211,0.18167992269456498
vdd,charge_share_ratio,0.7272236739551361,0.11367359626476074,0.16627395791306174
vdd,charge_share_ratio,0.7272236739551361,0.12475841104543936,0.15104641898520008
vdd,charge_share_ratio,0.7272236739551361,0.135843225826118,0.13607142035186082
vdd,charge_share_ratio,0.7272236739551361,0.14692804060679662,0.12129921315927518
vdd,charge_share_ratio,0.7272236739551361,0.15801285538747523,0.10678528875463678
vdd,charge_share_ratio,0.7272236739551361,0.16909767016815386,0.09258257680136447
vdd,charge_share_ratio,0.7272236739551361,0.1801824849488325,0.07854267311386492
vdd,charge_share_ratio,0.7272236739551361,0.19126729972951112,0.06481869804694611
vdd,charge_share_ratio,0.7272236739551361,0.20235211451018975,0.0512649906236956
vdd,charge_share_ratio,0.7272236739551361,0.21343692929086838,0.03793809139920021
vdd,charge_share_ratio,0.7272236739551361,0.224521744071547,0.024908208095779472
vdd,charge_share_ratio,0.7272236739551361,0.23560655885222562,0.012211869371056432
vdd,charge_share_ratio,0.7272236739551361,0.24669137363290425,-0.00023272202633500485
vdd,charge_share_ratio,0.7272236739551361,0.25777618841358285,-0.012309870701788858
vdd,charge_share_ratio,0.7272236739551361,0.26886100319426154,-0.023947550025001124
vdd,charge_share_ratio,0.7272236739551361,0.2799458179749401,-0.03505246089008782
vdd,charge_share_ratio,0.7272236739551361,0.29103063275561875,-0.04573716006156116
vdd,charge_share_ratio,0.7559253680144262,0.08041915192272486,0.27807630633193053
vdd,charge_share_ratio,0.7559253680144262,0.0915039667034035,0.262642325600235
vdd,charge_share_ratio,0.7559253680144262,0.10258878148408211,0.24723095400501477
vdd,charge_share_ratio,0.7559253680144262,0.11367359626476074,0.23200133648532686
vdd,charge_share_ratio,0.7559253680144262,0.12475841104543936,0.21684449886263651
vdd,charge_share_ratio,0.7559253680144262,0.135843225826118,0.20187284777187156
