feature,value,ale
vwl_overdrive,0.3000898537647272,-0.1817428970824792
vwl_overdrive,0.33694720733066913,-0.16108199651244648
vwl_overdrive,0.3718243929621619,-0.1416616764890982
vwl_overdrive,0.4097364983339364,-0.12036633763088851
vwl_overdrive,0.44760050085593284,-0.09913737503002346
vwl_overdrive,0.48253993918938753,-0.07988992005520937
vwl_overdrive,0.515657542027043,-0.061521162724113426
vwl_overdrive,0.5500753443879091,-0.042933556816964674
vwl_overdrive,0.5877632985935483,-0.02338030726999976
vwl_overdrive,0.6269078592527323,-0.004538002393338153
vwl_overdrive,0.6606296232192014,0.009677205724280907
vwl_overdrive,0.697624479965148,0.02203564237564279
vwl_overdrive,0.7366765380274191,0.032974465691787025
vwl_overdrive,0.7720513765681604,0.03997556724982568
vwl_overdrive,0.8104962080222857,0.046974047868644314
vwl_overdrive,0.8487990186239133,0.05172172197611402
vwl_overdrive,0.8849904504015963,0.055902156813874865
vwl_overdrive,0.9192659724204635,0.05962963097774879
vwl_overdrive,0.9576333593198372,0.06342523358898852
vwl_overdrive,0.99008990654482,0.06650292734044216
vwl_overdrive,1.0243162444183345,0.06980016371550818
vwl_overdrive,1.0590963171114463,0.07301482907435225
vwl_overdrive,1.0968490719925905,0.07638109584213026
vwl_overdrive,1.132294079667292,0.0797572365114455
vwl_overdrive,1.1649162587082917,0.08274768580384972
vwl_overdrive,1.1992997455259498,0.08573362144992669
t_write_pulse,1.000043812628539e-09,-0.12593057458966778
t_write_pulse,1.3683353770133035e-09,-0.08874115180690087
t_write_pulse,1.7790586976592735e-09,-0.05907038717718205
t_write_pulse,2.1444163112411876e-09,-0.03932633033087478
t_write_pulse,2.5348367510079007e-09,-0.024938772024355488
t_write_pulse,2.866316826400881e-09,-0.015475295385087462
t_write_pulse,3.255265474754079e-09,-0.007490793773222329
t_write_pulse,3.5880338299047782e-09,-0.002544072707462472
t_write_pulse,3.946411762604064e-09,0.0021596316018357986
t_write_pulse,4.318142534099335e-09,0.006092800357827721
t_write_pulse,4.659855173464214e-09,0.009139196070537148
t_write_pulse,5.000509359006126e-09,0.011782487920429852
t_write_pulse,5.360973237380739e-09,0.014352137878553106
t_write_pulse,5.685148919760482e-09,0.015968036723308238
t_write_pulse,6.033781029068968e-09,0.017713621627774595
t_write_pulse,6.384939302254223e-09,0.019688817747866766
t_write_pulse,6.760601577201437e-09,0.02127381987742677
t_write_pulse,7.129313920355384e-09,0.022773817791609474
t_write_pulse,7.446290049684875e-09,0.02412065952318948
t_write_pulse,7.843256980409745e-09,0.02543666963368288
t_write_pulse,8.213039346711751e-09,0.026489646971710884
t_write_pulse,8.556196738313886e-09,0.027366699083919727
t_write_pulse,8.927558449135131e-09,0.028405417743406047
t_write_pulse,9.330921480399146e-09,0.029532878429935433
t_write_pulse,9.647743325205665e-09,0.030216065486660088
t_write_pulse,9.994588953469396e-09,0.031004973325079427
vwl_boost,0.30008985376472724,-0.06664480881841968
vwl_boost,0.33694720733066913,-0.05655530788103612
vwl_boost,0.3718243929621618,-0.04718500237606557
vwl_boost,0.40973649833393644,-0.036636256104051135
vwl_boost,0.4476005008559327,-0.02635854997550703
vwl_boost,0.4825399391893876,-0.017141439588691555
vwl_boost,0.515657542027043,-0.008440188685395075
vwl_boost,0.5500753443879092,0.00032410603176008523
vwl_boost,0.5877632985935484,0.009104908751651528
vwl_boost,0.6269078592527323,0.01708651471644572
vwl_boost,0.6606296232192014,0.022333515743067772
vwl_boost,0.697624479965148,0.025915455320672312
vwl_boost,0.7366765380274192,0.02789656167809494
vwl_boost,0.7720513765681604,0.02785973857550543
vwl_boost,0.8104962080222857,0.026949018273163303
vwl_boost,0.8487990186239133,0.024647478317790322
vwl_boost,0.8849904504015964,0.02196901908785498
vwl_boost,0.9192659724204636,0.01924572719586308
vwl_boost,0.9576333593198372,0.01590275157555411
vwl_boost,0.99008990654482,0.012951647013191264
vwl_boost,1.0243162444183345,0.009677640716001357
vwl_boost,1.059096317111446,0.006378676794249
vwl_boost,1.0968490719925907,0.002779980883125366
vwl_boost,1.132294079667292,-0.0007729922138142858
vwl_boost,1.1649162587082917,-0.003987535990198063
vwl_boost,1.1992997455259498,-0.007300659040811938
wsan,9.002364418803019e-08,-0.024706765406298896
wsan,9.765516051544166e-08,-0.023576400341165923
wsan,1.0398417768633194e-07,-0.02265555161563807
wsan,1.1151927569607135e-07,-0.021497311276386266
wsan,1.1971976755165437e-07,-0.020286691045088574
wsan,1.2787436395715736e-07,-0.019078875988120417
wsan,1.3690198124745255e-07,-0.01774858501111704
wsan,1.4686536121970438e-07,-0.016179059382676712
wsan,1.5827356746541535e-07,-0.014453292937367144
wsan,1.7000661543510415e-07,-0.012599339413129318
wsan,1.8266534065424276e-07,-0.010666360311176192
wsan,1.9595789269511287e-07,-0.008718392975744407
wsan,2.1008196424827533e-07,-0.006546314957855293
wsan,2.2653529506575813e-07,-0.003986660850351077
wsan,2.4385033865428675e-07,-0.0013803347939804166
wsan,2.634811577288962e-07,0.0015087886180314876
wsan,2.8374904205758056e-07,0.004548767521659225
wsan,3.0604716264384615e-07,0.007970909079899086
wsan,3.2985623055171586e-07,0.011420549809299553
wsan,3.575070607198562e-07,0.015428202329333833
wsan,3.815585680666802e-07,0.019049633952481854
wsan,4.0886375472009525e-07,0.023252640016008096
wsan,4.3773910229168376e-07,0.02738014959180215
wsan,4.7292667115783483e-07,0.032812929338036034
wsan,5.043262893835087e-07,0.03770875350140683
wsan,5.399669240993368e-07,0.04299861254813769
cs,5.000590647486809e-15,0.025430319692808172
cs,5.415104275457762e-15,0.02464676000711822
cs,5.925968908448079e-15,0.02396803527401271
cs,6.404146249145023e-15,0.023263351275000736
cs,6.998106222517792e-15,0.022428141227352694
cs,7.5907826903323e-15,0.021468564507039753
cs,8.204716532137547e-15,0.020367180995663578
cs,8.909804584109584e-15,0.0191847124344037
cs,9.736003937384553e-15,0.017731304500743165
cs,1.060673101915874e-14,0.015893862637894884
cs,1.1528963948752703e-14,0.013879976754465992
cs,1.2595659584759282e-14,0.012037447249063781
cs,1.3577693795337405e-14,0.009901029884949262
