feature,value,ale
vdd,0.7000043280807907,-25.115994261460497
vdd,0.7253465734922127,-23.84330682870788
vdd,0.748623311373732,-22.523165050541838
vdd,0.7749392276761339,-20.66182987966792
vdd,0.8021398926126032,-18.358619735242474
vdd,0.825334817563725,-16.25829388027494
vdd,0.8495782469233003,-13.684945034747034
vdd,0.8718602465924626,-11.741672998440208
vdd,0.8963359714045401,-8.881755700107963
vdd,0.9223691128385444,-5.946176880442938
vdd,0.9475522873934805,-3.3954511802087843
vdd,0.9719837473962976,-1.5061496695372583
vdd,0.993615868675774,0.7692621238424948
vdd,1.0158556408003663,2.7177873632155034
vdd,1.0352267476241603,4.194368348901076
vdd,1.0573858452774623,5.955933010252831
vdd,1.082021886899432,7.76808774833923
vdd,1.1056004186489752,9.402790479345082
vdd,1.1290295894962248,11.096352521636522
vdd,1.1525015074402674,12.874878724566674
vdd,1.1765938484928753,14.644942652279735
vdd,1.2024553945903655,16.58534843925256
vdd,1.2278673910319322,18.743163362163376
vdd,1.2508823704496541,20.444847681313757
vdd,1.273877413290227,22.34341302877274
vdd,1.2999675242424713,24.376185615498184
charge_share_ratio,0.0769354384291336,17.121783516192046
charge_share_ratio,0.07956275222731216,16.23292249221719
charge_share_ratio,0.0822045018195438,15.34574322153771
charge_share_ratio,0.08472144452067934,14.435459681370377
charge_share_ratio,0.08762713720153428,13.440235885425366
charge_share_ratio,0.09098846875589395,12.29138184060376
charge_share_ratio,0.09451066001134406,11.177879616714252
charge_share_ratio,0.09836522549421714,9.932123575848406
charge_share_ratio,0.10267354622057562,8.553599784937505
charge_share_ratio,0.10737036617674627,7.051546777180624
charge_share_ratio,0.11206174001505426,5.763565445250812
charge_share_ratio,0.11690677364796892,4.372405167244349
charge_share_ratio,0.12276815989875332,2.6825666375996935
charge_share_ratio,0.12840390947869987,1.2333712865874737
charge_share_ratio,0.1349412560686818,-0.4182067143734223
charge_share_ratio,0.14197897447695454,-2.1685712679116875
charge_share_ratio,0.15237473550865482,-4.426812336991105
charge_share_ratio,0.16172001704701544,-6.390952819980651
charge_share_ratio,0.17225087495124067,-8.524784440917763
charge_share_ratio,0.18436864404247277,-10.456867227424581
charge_share_ratio,0.19776856266290604,-12.304565801555817
charge_share_ratio,0.21469881939114102,-14.57444574870133
charge_share_ratio,0.23563276388320922,-16.847797608357816
charge_share_ratio,0.2619567551829395,-19.16440697071438
charge_share_ratio,0.2931712911776305,-21.188635873857145
charge_share_ratio,0.3333059993164345,-23.16853811792388
signal_charge_c,1.3973228426815128e-15,-10.815105158112722
signal_charge_c,2.272718290318083e-15,-10.661598784480535
signal_charge_c,2.6644639989626684e-15,-10.504552894073914
signal_charge_c,2.9807130227226873e-15,-10.310638997372964
signal_charge_c,3.303959038724811e-15,-10.080316278796356
signal_charge_c,3.602049000492363e-15,-9.80511158695398
signal_charge_c,3.906523892786075e-15,-9.511750552355586
signal_charge_c,4.241769685570255e-15,-9.203621444737905
signal_charge_c,4.631074077466407e-15,-8.80251364960818
signal_charge_c,4.9903815425121956e-15,-8.360485177334894
signal_charge_c,5.4113435192435394e-15,-7.752779180333295
signal_charge_c,5.875931495687494e-15,-7.080033849508013
signal_charge_c,6.411011643916543e-15,-6.341999896309933
signal_charge_c,7.0788013985284576e-15,-5.290417235860595
signal_charge_c,7.714199035049009e-15,-4.2442940612066815
signal_charge_c,8.394598077891954e-15,-3.1006844426588795
signal_charge_c,9.091850924823724e-15,-1.9463518688321617
signal_charge_c,9.975491315907964e-15,-0.24337682327407784
signal_charge_c,1.0852535459361774e-14,1.3924290527917798
signal_charge_c,1.1800197681008511e-14,3.199103415530452
signal_charge_c,1.2942037277462041e-14,5.605335608909407
signal_charge_c,1.4067222762968245e-14,8.166180024479473
signal_charge_c,1.5665046243612345e-14,11.769703850779571
signal_charge_c,1.7853677662952152e-14,17.444673537791548
signal_charge_c,2.0794092309463488e-14,25.911127673665227
signal_charge_c,3.110956145558195e-14,60.567078717863176
stored_charge_c,3.5374811848787732e-15,-9.298267717316786
stored_charge_c,5.003787877760125e-15,-9.170434322834033
stored_charge_c,5.597226538412179e-15,-9.0334672518166
stored_charge_c,6.218295673730683e-15,-8.8598727507619
stored_charge_c,6.751935029894916e-15,-8.66534219796117
stored_charge_c,7.334114161663359e-15,-8.432327100254772
stored_charge_c,7.927635681531768e-15,-8.161091531880025
stored_charge_c,8.584574342232197e-15,-7.837158906755137
stored_charge_c,9.366934389712558e-15,-7.379212980691159
stored_charge_c,1.0147375094384603e-14,-6.924070640525152
stored_charge_c,1.1017407818424165e-14,-6.425434982457066
stored_charge_c,1.2118127965168477e-14,-5.664721851881532
stored_charge_c,1.3082366869429819e-14,-5.008894227072122
stored_charge_c,1.436661027528691e-14,-4.055752537335783
stored_charge_c,1.56469858200738e-14,-3.028043251081809
stored_charge_c,1.704375066292249e-14,-1.8605328106583698
stored_charge_c,1.8483848829690243e-14,-0.7000397509983358
stored_charge_c,2.0400071445837975e-14,0.9927490710743179
stored_charge_c,2.2172154442047863e-14,2.636440038039236
stored_charge_c,2.3962494294082475e-14,4.220192447054956
stored_charge_c,2.604866167178362e-14,6.063735641341484
stored_charge_c,2.8377683230750807e-14,8.325477132660517
stored_charge_c,3.1267633601043675e-14,11.5422212662622
stored_charge_c,3.47530386171068e-14,15.733815794224263
stored_charge_c,3.94162109545781e-14,21.997184822859438
stored_charge_c,5.0594948909086274e-14,38.99284859876532
sa_drive_ratio,201382.27953034133,12.73819849281846
sa_drive_ratio,506873.65264943923,10.91562338958656
sa_drive_ratio,672577.707386132,10.090376028584643
sa_drive_ratio,806171.1434273293,9.439593493801395
sa_drive_ratio,951456.6986428709,8.774312211980954
sa_drive_ratio,1098989.501694436,8.093221222402423
sa_drive_ratio,1241168.9371124823,7.415305757638461
sa_drive_ratio,1397617.8220217284,6.693316396800219
sa_drive_ratio,1575969.1128244011,5.898299212935719
sa_drive_ratio,1759558.8568625613,5.098521423682383
sa_drive_ratio,1939972.5648235518,4.329002298979715
sa_drive_ratio,2138400.3295138874,3.492886983059247
sa_drive_ratio,2368653.4901224356,2.4717615003112705
sa_drive_ratio,2621006.3386904597,1.5057343414286812
sa_drive_ratio,2899042.437729818,0.44362323383124824
sa_drive_ratio,3175678.0223997496,-0.4945250427612091
sa_drive_ratio,3501509.914548928,-1.6196204034828305
sa_drive_ratio,3913375.088344971,-2.942591191394831
sa_drive_ratio,4307519.998389572,-4.089091354361154
sa_drive_ratio,4975703.370860414,-5.842506311261756
sa_drive_ratio,5585245.42645063,-7.247965417178312
sa_drive_ratio,6483558.87843191,-9.103286569763418
sa_drive_ratio,7636633.821061231,-11.19803681427968
sa_drive_ratio,9398197.474247837,-13.671044735761187
sa_drive_ratio,12814324.45791907,-16.7623740210769
sa_drive_ratio,42943189.46327751,-24.428734126520133
vblpre_ratio,0.3500683081463321,8.623011105805617
vblpre_ratio,0.3624267333575023,7.616914987683755
vblpre_ratio,0.37440541498667856,6.7815695119437045
vblpre_ratio,0.38594830938778063,6.091053671727961
vblpre_ratio,0.3981412394709756,5.401095040179246
vblpre_ratio,0.4092156239387207,4.759839546270718
vblpre_ratio,0.42169584265103255,3.9051240900307436
vblpre_ratio,0.4344170172130402,3.1261501680132513
vblpre_ratio,0.4451726245042096,2.4346692030854644
vblpre_ratio,0.45812091712013137,1.7071781868462148
vblpre_ratio,0.4713565273682442,0.9687027773223598
vblpre_ratio,0.4825980870045522,0.36846496537429374
vblpre_ratio,0.4944590597791478,-0.19583700839560336
vblpre_ratio,0.5072967389191798,-0.8409711806712767
vblpre_ratio,0.5197487416675736,-1.4051302406717792
vblpre_ratio,0.5324158716202473,-1.9488575113073452
vblpre_ratio,0.5443205933733812,-2.499678497601586
vblpre_ratio,0.555864929141728,-3.010745514673692
vblpre_ratio,0.5685139489010541,-3.5485186666556743
vblpre_ratio,0.5788022200765405,-3.9957459522405188
vblpre_ratio,0.5904058213190694,-4.5158845124913025
vblpre_ratio,0.6023122939520952,-4.957151357830984
vblpre_ratio,0.6134530053899266,-5.399075958762001
vblpre_ratio,0.6259814732409664,-5.878815544455859
vblpre_ratio,0.6380183373559206,-6.469470119282498
vblpre_ratio,0.6499896348928285,-7.117891189243236
vgs_retention,-1.1902650140464397,12.721397713091052
vgs_retention,-1.0050513701344588,8.489788212717526
vgs_retention,-0.943036670746203,6.6420859369503855
vgs_retention,-0.9047100355780554,5.758061769707914
vgs_retention,-0.8730074543925179,4.879349681836238
vgs_retention,-0.8476417089866499,4.22227754016555
vgs_retention,-0.82284104105896,3.5039312667007945
vgs_retention,-0.7990441416152142,2.6308315547705288
vgs_retention,-0.7787080540981619,2.153109069129478
vgs_retention,-0.7587707715903774,1.677835191510379
vgs_retention,-0.7370121582881869,1.1526279492929223
vgs_retention,-0.7219086996021898,0.7025861369993276
vgs_retention,-0.7046829508254548,0.26155178619660724
vgs_retention,-0.6883674116953516,-0.20530079897211628
vgs_retention,-0.6718573039789334,-0.7663525694734616
vgs_retention,-0.6528271350123684,-1.290975157975911
vgs_retention,-0.6356239874654623,-1.8181471046118673
vgs_retention,-0.6156063575592697,-2.3399843686555712
