feature,importance_mean,importance_std
vdd,2.7951193291173975,0.09784770603937484
corner,0.8874564763328088,0.030022093306973318
cs,0.7913784097861345,0.025722970871705476
vgs_retention,0.42282985593794664,0.016366656216795217
charge_share_ratio,0.29764046727261834,0.006936553946013257
vblpre_ratio,0.29600926146625617,0.014550332385494882
vwl_low,0.28102043866314896,0.0074130524424705175
vwl_overdrive,0.21257371287334575,0.018631841292229397
vwl_boost,0.19748137867005783,0.015081674496812554
wsan,0.15492891612180262,0.005589852537117969
sa_aspect,0.15224722100862678,0.005728083911847337
cbl_ratio,0.14482946027981175,0.004793569933004218
stored_charge_c,0.10572163762583162,0.005038017196772389
sa_drive_ratio,0.07581807953149663,0.0034021791050378248
cbl_over_cs,0.07047495267839095,0.003048245678717364
wsap_ratio,0.06604896893314,0.0025800454682091832
inv_thermal_v,0.060709279836940806,0.0036775292629575894
temperature_k,0.0364453184403882,0.001452693442876556
signal_charge_c,0.03146943492643692,0.0015975270337739546
temperature_c,0.026225992036590883,0.001361687806347592
t_write_pulse,0.01930312157610373,0.0012820349368755427
wacc,0.01565663466733228,0.0016977321083767834
access_aspect,0.008429191950035582,0.0007641954848221948
wen_ratio,0.007281226276842904,0.0005185993887492164
lacc,0.00564663672325838,0.0006729303636634615
access_area,0.004562678330282647,0.0004633090290694455
t_sense_delay,0.0015506864730141512,0.0002845841632644806
