response,feature,mean_abs_shap,mean_shap,std_shap,importance_pct
log10_retention_time_s,num__vwl_overdrive,0.9139558509475928,-0.32222173692630507,1.3225416770260143,9.323797029626798
log10_retention_time_s,num__vblpre_ratio,0.8725325255516786,-0.1337485634563433,1.1979804220101111,8.901213512180902
log10_retention_time_s,num__vwl_boost,0.871180190307261,-0.2999715828956434,1.2472917674787622,8.88741755111573
log10_retention_time_s,num__vdd,0.8690061773121961,-0.21940827373484184,1.275443255517731,8.865239175776548
log10_retention_time_s,num__t_write_pulse,0.6857307192103785,-0.4804703523312685,1.0844432239603508,6.99553926622238
log10_retention_time_s,num__cbl_over_cs,0.6708621791544183,-0.013897060250556576,0.8905209890842481,6.843856611677397
log10_retention_time_s,num__cbl_ratio,0.6679828777084731,-0.019988605864365443,0.8809170724307411,6.814483177237135
log10_retention_time_s,num__temperature_k,0.5328250386944954,-0.009687290734229151,0.6677515085526533,5.435659181939398
log10_retention_time_s,num__temperature_c,0.470413726721509,-0.010145792748931404,0.5902160873213395,4.798964964614224
log10_retention_time_s,num__cs,0.39378532272999606,0.04778812070301096,0.5959280265540403,4.017233894365757
log10_retention_time_s,cat__corner_TT,0.27384267808674184,0.2733389007211682,0.5974967516933535,2.7936289765889546
log10_retention_time_s,num__vgs_retention,0.25211133926396273,-0.06549898884424989,0.4179609350094116,2.57193490662314
log10_retention_time_s,cat__corner_FF,0.24331911042174442,0.24331911042174442,0.6786817612464434,2.482240248967762
log10_retention_time_s,cat__corner_FS,0.22159489444883318,0.22159489444883318,0.5979918112476429,2.260618843350418
log10_retention_time_s,num__wacc,0.21801802556549163,0.005535685064870402,0.32837745127556356,2.2241291163736863
read_delay_ns,num__vdd,7.3480655142950875,3.314108738061864,10.387874361436872,21.482048310044746
read_delay_ns,num__cs,3.0616484131534674,0.1707977778211267,4.080333826721076,8.950720293903652
read_delay_ns,num__vgs_retention,2.5654607357489914,0.23375429028836986,3.5211683881857625,7.500117051987076
read_delay_ns,num__charge_share_ratio,2.211058652346528,0.37801571256281413,2.8897319944236735,6.46402358466276
read_delay_ns,num__vwl_low,1.8578522164565745,0.019435152646159217,2.5300417938257653,5.431425589388273
read_delay_ns,num__sa_aspect,1.7377382363534883,0.4888040886249025,2.3440969740616935,5.080272715442541
read_delay_ns,cat__corner_FF,1.7162052817082714,-1.7162052817082714,4.271067793236998,5.017321184723787
read_delay_ns,num__wsan,1.6939161779581295,0.5439836114911337,2.3603786373331412,4.952159054280524
read_delay_ns,num__vblpre_ratio,1.2730503169326077,-0.5806284408998232,2.0622192317821955,3.721758925020631
read_delay_ns,num__sa_drive_ratio,1.1230926015239109,0.31130494586630236,1.3867263500414364,3.2833579770967742
read_delay_ns,num__cbl_ratio,0.9658172687263372,0.06473754609901844,1.4320258727384327,2.8235639958696
read_delay_ns,num__inv_thermal_v,0.9188878125832513,-0.12220177479760068,1.2278742775149938,2.6863658663661765
read_delay_ns,num__wsap_ratio,0.8765802558520326,0.20016230530435164,1.2226026868109368,2.5626798464454374
read_delay_ns,num__stored_charge_c,0.86882389212194,-0.0504744828598701,1.2330603813149263,2.540004139480662
read_delay_ns,num__cbl_over_cs,0.7629389251048694,-0.0008281635738406342,1.0837743627771974,2.2304497441989244
log10_total_power_nw,num__vdd,0.18142704716046812,-0.0446985940083243,0.23643922011393273,18.963621263199485
log10_total_power_nw,num__charge_share_ratio,0.06800761311022646,0.009738318635814156,0.07953918432357057,7.108480451075469
log10_total_power_nw,num__vblpre_ratio,0.05912908425000534,0.0070766404128436745,0.07077709203466354,6.180454220616562
log10_total_power_nw,num__sa_drive_ratio,0.05538599041048155,0.01234368063647578,0.06590275026087752,5.789208179652438
