feature,mean_abs_shap,mean_shap,std_shap,importance_pct
num__vdd,7.3480655142950875,3.314108738061864,10.387874361436872,21.482048310044746
num__cs,3.0616484131534674,0.1707977778211267,4.080333826721076,8.950720293903652
num__vgs_retention,2.5654607357489914,0.23375429028836986,3.5211683881857625,7.500117051987076
num__charge_share_ratio,2.211058652346528,0.37801571256281413,2.8897319944236735,6.46402358466276
num__vwl_low,1.8578522164565745,0.019435152646159217,2.5300417938257653,5.431425589388273
num__sa_aspect,1.7377382363534883,0.4888040886249025,2.3440969740616935,5.080272715442541
cat__corner_FF,1.7162052817082714,-1.7162052817082714,4.271067793236998,5.017321184723787
num__wsan,1.6939161779581295,0.5439836114911337,2.3603786373331412,4.952159054280524
num__vblpre_ratio,1.2730503169326077,-0.5806284408998232,2.0622192317821955,3.721758925020631
num__sa_drive_ratio,1.1230926015239109,0.31130494586630236,1.3867263500414364,3.2833579770967742
num__cbl_ratio,0.9658172687263372,0.06473754609901844,1.4320258727384327,2.8235639958696
num__inv_thermal_v,0.9188878125832513,-0.12220177479760068,1.2278742775149938,2.6863658663661765
num__wsap_ratio,0.8765802558520326,0.20016230530435164,1.2226026868109368,2.5626798464454374
num__stored_charge_c,0.86882389212194,-0.0504744828598701,1.2330603813149263,2.540004139480662
num__cbl_over_cs,0.7629389251048694,-0.0008281635738406342,1.0837743627771974,2.2304497441989244
cat__corner_SS,0.7529447546248633,0.7529447546248633,2.0063762124057525,2.2012318156634967
num__temperature_k,0.546737505749466,-0.003437486880520154,0.7562005530865431,1.5983855190967384
num__vwl_overdrive,0.5197921322282019,-0.21193452254414935,1.5597201702970234,1.5196107974247683
num__vwl_boost,0.5084496776630097,-0.29056051903612645,1.6910430497605762,1.4864511642601042
cat__corner_FS,0.4731293832718258,-0.46392593632659074,1.4342227596712869,1.3831923856114485
num__t_write_pulse,0.3649148467814529,0.3100522998512454,0.6298275585428753,1.06682750070224
num__temperature_c,0.3350121855735859,0.02513125832344259,0.5559645360596385,0.9794071570190463
cat__corner_TT,0.3265665257595134,-0.2666802032919513,1.1460592869367978,0.9547162949434224
cat__corner_SF,0.29836903093548867,-0.2029411435895499,1.1064415079240493,0.8722810002589212
num__signal_charge_c,0.2921242792411088,-0.04642349830653367,0.47239545584253595,0.8540244867150607
num__wen_ratio,0.24226102241752265,0.1399296044289158,0.3348987915588924,0.7082493993949248
num__wacc,0.15039220774270864,-0.007990720886419087,0.23893634331966304,0.439671185007539
num__access_area,0.14059283220387958,0.004803514509187824,0.20817002813512347,0.41102273892008034
num__access_aspect,0.12121410669079208,-0.0160679083512237,0.2006505879340025,0.354369090847758
num__lacc,0.11659518690053082,0.01949944812395291,0.20527934286641,0.3408656921802336
num__t_sense_delay,0.035377320065434543,0.013748781144256116,0.08050195159321612,0.10342549304263873
