feature_1,feature_2,value_1,value_2,partial_dependence
vdd,vgs_retention,0.7879385999375468,-1.0021271637385458,19.33166386428563
vdd,vgs_retention,0.7879385999375468,-0.9737087818471278,20.562143587184643
vdd,vgs_retention,0.7879385999375468,-0.9452903999557097,21.85414456452009
vdd,vgs_retention,0.7879385999375468,-0.9168720180642917,23.211094083039708
vdd,vgs_retention,0.7879385999375468,-0.8884536361728737,24.630996359192945
vdd,vgs_retention,0.7879385999375468,-0.8600352542814557,26.111077228487712
vdd,vgs_retention,0.7879385999375468,-0.8316168723900376,27.65456673479484
vdd,vgs_retention,0.7879385999375468,-0.8031984904986196,29.26406818372861
vdd,vgs_retention,0.7879385999375468,-0.7747801086072015,30.932311379040343
vdd,vgs_retention,0.7879385999375468,-0.7463617267157835,32.65568003388486
vdd,vgs_retention,0.7879385999375468,-0.7179433448243655,34.433468681876995
vdd,vgs_retention,0.7879385999375468,-0.6895249629329474,36.26470481364757
vdd,vgs_retention,0.7879385999375468,-0.6611065810415293,38.14369543396373
vdd,vgs_retention,0.7879385999375468,-0.6326881991501113,40.06971314232243
vdd,vgs_retention,0.7879385999375468,-0.6042698172586933,42.037749048303695
vdd,vgs_retention,0.7879385999375468,-0.5758514353672752,44.04011319662344
vdd,vgs_retention,0.7879385999375468,-0.5474330534758571,46.076454887274224
vdd,vgs_retention,0.7879385999375468,-0.5190146715844391,48.14666379870582
vdd,vgs_retention,0.7879385999375468,-0.49059628969302116,50.246870317993164
vdd,vgs_retention,0.7879385999375468,-0.4621779078016031,52.37655701386346
vdd,vgs_retention,0.8136635212898257,-1.0021271637385458,16.665738826598364
vdd,vgs_retention,0.8136635212898257,-0.9737087818471278,17.71739127134186
vdd,vgs_retention,0.8136635212898257,-0.9452903999557097,18.83202079967222
vdd,vgs_retention,0.8136635212898257,-0.9168720180642917,20.00301487165369
vdd,vgs_retention,0.8136635212898257,-0.8884536361728737,21.232909515972413
vdd,vgs_retention,0.8136635212898257,-0.8600352542814557,22.518465539181808
vdd,vgs_retention,0.8136635212898257,-0.8316168723900376,23.862305437940048
vdd,vgs_retention,0.8136635212898257,-0.8031984904986196,25.26625956215746
vdd,vgs_retention,0.8136635212898257,-0.7747801086072015,26.722858874455113
vdd,vgs_retention,0.8136635212898257,-0.7463617267157835,28.238079158933648
vdd,vgs_retention,0.8136635212898257,-0.7179433448243655,29.807060951026184
vdd,vgs_retention,0.8136635212898257,-0.6895249629329474,31.42960442825368
vdd,vgs_retention,0.8136635212898257,-0.6611065810415293,33.10044635446723
vdd,vgs_retention,0.8136635212898257,-0.6326881991501113,34.81983965102441
