feature,value,ale
vdd,0.7000485861465444,-0.4814608683511938
vdd,0.7229782059113558,-0.4277867162276527
vdd,0.7482182857129943,-0.37686158089183586
vdd,0.7749105992847758,-0.31002245486979957
vdd,0.7964996715981078,-0.2634014070387672
vdd,0.819100224292882,-0.21396496670998805
vdd,0.842102799112326,-0.16858214935254207
vdd,0.8658458058120871,-0.1208953530278073
vdd,0.8934730104025599,-0.07692384150051007
vdd,0.9184820094692444,-0.041532136224707916
vdd,0.9442047528306377,-0.002284776231252561
vdd,0.9716974648481507,0.029982544001420808
vdd,0.9969565142799013,0.055809253033100636
vdd,1.0175270599559527,0.07811581099084802
vdd,1.0419830813606565,0.09781008170185707
vdd,1.06836487956095,0.11873205782506818
vdd,1.0946655164245074,0.13989760020987535
vdd,1.1183334944146082,0.15686239504137717
vdd,1.142070034694118,0.17314562053912802
vdd,1.1656391158983161,0.18885456917706428
vdd,1.1867553968179827,0.20277183441139673
vdd,1.209439507378839,0.21817135845834873
vdd,1.232146077604298,0.23356232362905133
vdd,1.255467605985645,0.24910736258079197
vdd,1.2769713338952804,0.2631636381519478
vdd,1.2998740017375108,0.27772980067477987
charge_share_ratio,0.07692454856602639,0.10198706122177993
charge_share_ratio,0.07936371967918712,0.09783511524454469
charge_share_ratio,0.08192896555911551,0.09386285468557296
charge_share_ratio,0.084606110302598,0.0892869590692449
charge_share_ratio,0.08775344828603783,0.08427437728499575
charge_share_ratio,0.09079743459650948,0.07923131615772196
charge_share_ratio,0.09402133202315581,0.07387261795416791
charge_share_ratio,0.0974564558579918,0.06811886795847011
charge_share_ratio,0.10127186675514849,0.061874483599483096
charge_share_ratio,0.10567562485885675,0.054910421741832194
charge_share_ratio,0.11039314599204594,0.04705488636073785
charge_share_ratio,0.11536225507586587,0.039211678052638865
charge_share_ratio,0.12096932736748303,0.030620768280636507
charge_share_ratio,0.1268457954858589,0.021547737969818972
charge_share_ratio,0.1332510917248467,0.012065768553675651
charge_share_ratio,0.14183295600493714,-0.0005304331575994581
charge_share_ratio,0.15005400150996276,-0.011678549861277407
charge_share_ratio,0.15916286886670505,-0.024456398050968817
charge_share_ratio,0.1708902059565341,-0.040127618556584546
charge_share_ratio,0.18292817618724835,-0.05578048323354849
charge_share_ratio,0.19914722395349344,-0.07621016106407881
charge_share_ratio,0.21815282853687895,-0.09912485744674134
charge_share_ratio,0.2378838011215857,-0.12133803100636269
charge_share_ratio,0.2613380512931125,-0.14410743211385862
charge_share_ratio,0.2896145777627741,-0.17104367946177018
charge_share_ratio,0.3331325815607599,-0.21135727018253114
vblpre_ratio,0.3500047968154133,0.12129708800887909
vblpre_ratio,0.3619959375034594,0.11005895102535311
vblpre_ratio,0.3747388302071971,0.09672606402234955
vblpre_ratio,0.3861514084768737,0.0874224290304987
vblpre_ratio,0.3989692405332506,0.07656024347052165
vblpre_ratio,0.4100709721938975,0.06701432582062752
vblpre_ratio,0.4213168006497361,0.05626542749168971
vblpre_ratio,0.4327788030567314,0.0458607618012869
vblpre_ratio,0.4445793037798746,0.03562424562232569
vblpre_ratio,0.45689380948541825,0.025783185790352367
vblpre_ratio,0.4687775224352566,0.016295893658644756
vblpre_ratio,0.4816475229606128,0.007357470034182509
vblpre_ratio,0.4936867860504486,-0.0020230811379746
vblpre_ratio,0.5051298716067125,-0.010626989162323658
vblpre_ratio,0.5178771610685927,-0.01936329948556867
vblpre_ratio,0.5293188595097096,-0.027060319321108278
vblpre_ratio,0.5409298590776084,-0.03425422373814083
vblpre_ratio,0.5531782282081675,-0.0417873266622239
vblpre_ratio,0.5657040537152074,-0.04963161173864303
vblpre_ratio,0.5782602680275601,-0.05740216390936198
vblpre_ratio,0.5912494149403292,-0.06535239506762619
vblpre_ratio,0.6024696420185197,-0.0727798864568645
vblpre_ratio,0.6139758743023941,-0.08035503621630458
vblpre_ratio,0.6254717844385657,-0.08705563234545524
vblpre_ratio,0.6382175791507719,-0.09542172687684125
vblpre_ratio,0.6499307838478658,-0.10315239365827514
sa_drive_ratio,222111.1982541965,0.0936135978505895
sa_drive_ratio,512071.50529019505,0.0829851927306012
sa_drive_ratio,658802.4577414532,0.0779223940408383
sa_drive_ratio,794370.6730723236,0.07339588637797007
sa_drive_ratio,935199.900142202,0.0686474221011876
sa_drive_ratio,1090390.9394077586,0.06349471358725997
sa_drive_ratio,1213084.010525174,0.05921092873222799
sa_drive_ratio,1374439.694427224,0.05396325506445895
sa_drive_ratio,1548173.607780338,0.04797627958161918
sa_drive_ratio,1719498.0442478328,0.0424024034021863
sa_drive_ratio,1913128.6521410774,0.03652633558995842
sa_drive_ratio,2107606.514889711,0.030470290502798453
sa_drive_ratio,2334861.097340742,0.02374069143264411
sa_drive_ratio,2572271.8892977173,0.016966503784554082
sa_drive_ratio,2849697.324481457,0.0090972661799541
sa_drive_ratio,3189202.290766611,-9.120711888452315e-06
sa_drive_ratio,3554330.377542352,-0.009562765099742299
sa_drive_ratio,3944433.5850530956,-0.019968931203131216
sa_drive_ratio,4414445.70508928,-0.03122120971598316
sa_drive_ratio,4927117.59542768,-0.04298070895135052
