feature_1,feature_2,value_1,value_2,partial_dependence
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.36447726571380573,-1.3752284995677573
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.37857889654100624,-1.491448422040332
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.39268052736820674,-1.650427882455388
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.40678215819540725,-1.8080845153341176
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.42088378902260776,-1.9577523298486206
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.43498541984980826,-2.102336153918972
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.4490870506770088,-2.2662319565821933
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.46318868150420933,-2.4263287300772225
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.47729031233140984,-2.5784637864634474
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.49139194315861034,-2.7803974059972334
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5054935739858109,-3.0242734814190904
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5195952048130114,-3.270911669222205
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5336968356402119,-3.519615895506858
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5477984664674124,-3.7819895435975632
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5619000972946129,-4.069115953075942
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5760017281218134,-4.407442899302353
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.5901033589490139,-4.753827601901097
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.6042049897762144,-5.076727058098414
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.6183066206034149,-5.432670333577772
vwl_overdrive,vblpre_ratio,0.34289466047137435,0.6324082514306154,-5.801097947320651
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.36447726571380573,-1.240391087897797
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.37857889654100624,-1.3344866197411118
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.39268052736820674,-1.429963379591878
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.40678215819540725,-1.5659365761025394
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.42088378902260776,-1.733104299647436
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.43498541984980826,-1.8846596069379649
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.4490870506770088,-2.030624610290056
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.46318868150420933,-2.180234843156476
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.47729031233140984,-2.3524455114473573
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.49139194315861034,-2.5081970059960437
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5054935739858109,-2.685169111153637
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5195952048130114,-2.912689303832924
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5336968356402119,-3.1608986636692533
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5477984664674124,-3.410927599360672
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5619000972946129,-3.6888227150509167
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5760017281218134,-3.962076118011118
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.5901033589490139,-4.287231090744831
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.6042049897762144,-4.648976242730487
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.6183066206034149,-4.987851017598961
vwl_overdrive,vblpre_ratio,0.3857709139680712,0.6324082514306154,-5.32540908577458
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.36447726571380573,-1.1013662467277117
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.37857889654100624,-1.1991904056869764
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.39268052736820674,-1.2939460166542307
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.40678215819540725,-1.3867299012018575
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.42088378902260776,-1.492737683592611
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.43498541984980826,-1.6495846784951118
vwl_overdrive,vblpre_ratio,0.42864716746476805,0.4490870506770088,-1.8151979930871902
